FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ADDRESS,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,LAT,LNG,FULL_ADDR
NJ24982,Ambulatory Care Facility,24982,Advanced Medical Emergency Resource Coalition Inc,"842 Silvia Street, Enterprise Park, Bldg D",West Trenton,NJ,8628,"WEST TRENTON, NJ  08628",Mercer,40.259357,-74.80815,"842 Silvia Street, Enterprise Park, Bldg D, West Trenton, NJ, US"
NJ24983,Ambulatory Care Facility,24983,Advanced Medical Emergency Resource Coalition Inc,"842 Silvia Street, Enterprise Park, Blgd D",West Trenton,NJ,8628,"WEST TRENTON, NJ  08628",Mercer,40.24244,-74.733119,"842 Silvia Street, Enterprise Park, Blgd D, West Trenton, NJ, US"
NJ23131,"Hospital-Based, Off-Site Ambulatory Care Facility",1306,Advanced Medical Imaging Of Englewood Hospital,452 Old Hook Road,Emerson,NJ,7630,"EMERSON, NJ  07630",Bergen,40.9814672,-74.0042453,"452 Old Hook Road, Emerson, NJ, US"
NJ22989,Ambulatory Care Facility,22989,Advanced Medical Imaging Of Old Bridge,3548 Route 9 South,Old Bridge,NJ,8857,"OLD BRIDGE, NJ  08857",Middlesex,40.382551,-74.308359,"3548 Route 9 South, Old Bridge, NJ, US"
NJ24803,Ambulatory Care Facility,24803,Advanced Open Mri Of West Hudson,723 Elm Street,Kearny,NJ,7032,"KEARNY, NJ  07032",Hudson,40.7770574,-74.1338238,"723 Elm Street, Kearny, NJ, US"
NJ1399,Ambulatory Care Facility,24785,Advanced Practice Imaging,30 Bergen Street,Newark,NJ,7103,"NEWARK, NJ  07103",Essex,40.7444051,-74.1901727,"30 Bergen Street, Newark, NJ, US"
NJ24953,Ambulatory Care Facility,24953,"Advanced Shore Imaging Associates, Llc","2605 Shore Road, Suite 101",Northfield,NJ,8225,"NORTHFIELD, NJ  08225",Atlantic,39.3594436,-74.5587,"2605 Shore Road, Suite 101, Northfield, NJ, US"
NJ24266,Ambulatory Surgical Center,24266,"Advanced Spine And Outpatient Surgery Center, Llc","855 Lehigh Avenue, Suite 203",Union,NJ,7083,"UNION, NJ  07083",Union,40.6821319,-74.2440927,"855 Lehigh Avenue, Suite 203, Union, NJ, US"
NJ25070,Ambulatory Care Facility,25070,"Advanced Spine Care And Physical Rehabilitation, Llc","728 Bennetts Mills Road, Suite 1",Jackson,NJ,8527,"JACKSON, NJ  08527",Ocean,40.1240879,-74.2855162,"728 Bennetts Mills Road, Suite 1, Jackson, NJ, US"
NJ90046,Ambulatory Surgical Center,R24605,"Advanced Surgery Center Of Clifton, Llc",1200 Route 46 West,Clifton,NJ,7013,"CLIFTON, NJ  07013",Passaic,40.8773924,-74.1619618,"1200 Route 46 West, Clifton, NJ, US"
NJ22469,Ambulatory Surgical Center,22469,"Advanced Surgery Center, Llc","1608 Lemoine Avenue, Suite 101",Fort Lee,NJ,7024,"FORT LEE, NJ  07024",Bergen,40.849106,-73.9705032,"1608 Lemoine Avenue, Suite 101, Fort Lee, NJ, US"
NJ90075,Ambulatory Surgical Center,R24526,"Advanced Surgical Arts Center, Llc",1150 Amboy Avenue,Edison,NJ,8837,"EDISON, NJ  08837",Middlesex,40.5366069,-74.3481126,"1150 Amboy Avenue, Edison, NJ, US"
NJ24201,Ambulatory Surgical Center,24201,Advanced Surgical Institute,556 Egg Harbor Road,Sewell,NJ,8080,"SEWELL, NJ  08080",Gloucester,39.734136,-75.063294,"556 Egg Harbor Road, Sewell, NJ, US"
NJ24516,Ambulatory Care Facility,24516,Advantage Sleep Associates,"2301 Evesham Road,  Suite 603-604",Voorhees,NJ,8043,"VOORHEES, NJ  08043",Camden,39.86568,-74.95624,"2301 Evesham Road,  Suite 603-604, Voorhees, NJ, US"
NJ24194,Comprehensive Outpatient Rehab,24194,Advantage Therapy Center/Advantage Sleep Centers,"100 Kingsway East, Suite B4-B6, Washing Pavilions",Sewell,NJ,8080,"SEWELL, NJ  08080",Gloucester,39.75521,-75.201593,"100 Kingsway East, Suite B4-B6, Washing Pavilions, Sewell, NJ, US"
NJ31C0001044,Surgical Practice,R24524,Affiliated Ambulatory Surgery Pc,"182 South Street, Suite #1",Morristown,NJ,7960,"MORRISTOWN, NJ  07960",Morris,40.791451,-74.475178,"182 South Street, Suite #1, Morristown, NJ, US"
NJ80033,Surgical Practice,R24501,Affiliated Endoscopy Services Of Clifton,"925 Clifton Avenue, Suite 100",Clifton,NJ,7013,"CLIFTON, NJ  07013",Passaic,40.8643165,-74.1610073,"925 Clifton Avenue, Suite 100, Clifton, NJ, US"
NJ25055,Ambulatory Care Facility,25055,Agile Urgent Care,20 Meadowlands Parkway,Secaucus,NJ,7094,"SECAUCUS, NJ  07094",Hudson,40.7974676,-74.0647124,"20 Meadowlands Parkway, Secaucus, NJ, US"
NJ23965,Pediatric Community Transitional Homes,23965,Aids Resource Foundation For Children/St. Clares Elizabeth,643 Pearl Street,Elizabeth,NJ,7202,"ELIZABETH, NJ  07202",Union,40.6600404,-74.2142918,"643 Pearl Street, Elizabeth, NJ, US"
NJ23963,Pediatric Community Transitional Homes,23963,Aids Resource Foundation For Children/St. Clare'S Jersey City,15 Clifton Place,Jersey City,NJ,7303,"JERSEY CITY, NJ  07303",Hudson,40.7186323,-74.0668304,"15 Clifton Place, Jersey City, NJ, US"
NJ22772,Ambulatory Care Facility,22772,Aims Diagnostic Imaging Services Of New Jersey,"2800 Route 130 N, Suite 202",Cinnaminson,NJ,8077,"CINNAMINSON, NJ  08077",Burlington,40.007602,-74.972082,"2800 Route 130 N, Suite 202, Cinnaminson, NJ, US"
NJ22514,Ambulatory Care Facility,22514,Aims Diagnostic Imaging Services Of New Jersey,434 New Jersey Avenue,Absecon,NJ,8201,"ABSECON, NJ  08201",Atlantic,39.4295552,-74.5053618,"434 New Jersey Avenue, Absecon, NJ, US"
NJ22426,Ambulatory Care Facility,22426,"Aims Diagnostics Imaging Services Of Nj, Llc",13-15 Mechanic Street,Cape May Court House,NJ,8210,"CAPE MAY COURT HOUSE, NJ  08210",Cape May,39.0824599,-74.8241329,"13-15 Mechanic Street, Cape May Court House, NJ, US"
NJ25035,End Stage Renal Dialysis,25035,Alaris Health Dialysis At Essex,155-40Th Street,Irvington,NJ,7111,"IRVINGTON, NJ  07111",Essex,40.719016,-74.249427,"155-40Th Street, Irvington, NJ, US"
23196,End Stage Renal Dialysis,23196,Alaris Health Dialysis At Hamilton Park,328 Ninth Street,Jersey City,NJ,7302,"JERSEY CITY, NJ  07302",Hudson,40.728756,-74.0485,"328 Ninth Street, Jersey City, NJ, US"
NJ25149,End Stage Renal Dialysis,25149,Alaris Health Dialysis At The Chateau,96 Parkway,Rochelle Park,NJ,7662,"ROCHELLE PARK, NJ  07662",Bergen,40.8980032,-74.0758276,"96 Parkway, Rochelle Park, NJ, US"
NJ25005,Ambulatory Surgical Center,25005,"Alfred I Dupont Hospital For Children Surgery Center, Deptford",1280 Almonesson Road,Deptford,NJ,8096,"DEPTFORD, NJ  08096",Gloucester,39.83299,-75.101145,"1280 Almonesson Road, Deptford, NJ, US"
NJ311812,Federally Qualified Health Centers,22657,"Alliance Community Healthcare, Inc",714 Bergen Avenue,Jersey City,NJ,7306,"JERSEY CITY, NJ  07306",Hudson,40.7243378,-74.0696571,"714 Bergen Avenue, Jersey City, NJ, US"
311836,Federally Qualified Health Centers,22956,"Alliance Community Healthcare, Inc",115 Christopher Columbus Drive,Jersey City,NJ,7302,"JERSEY CITY, NJ  07302",Hudson,40.7169211,-74.0336375,"115 Christopher Columbus Drive, Jersey City, NJ, US"
NJR24898,Surgical Practice,R24898,"Alliance Surgery Center, Llc",412 Creek Crossing Boulevard,Hainesport,NJ,8036,"HAINESPORT, NJ  08036",Burlington,39.971434,-74.837491,"412 Creek Crossing Boulevard, Hainesport, NJ, US"
NJ24865,Ambulatory Care Facility,24865,Alpha Diagnostic Of New Jersey,1 West Ridgewood Avenue,Paramus,NJ,7652,"PARAMUS, NJ  07652",Bergen,40.969742,-74.077252,"1 West Ridgewood Avenue, Paramus, NJ, US"
NJ31C0001100,Ambulatory Surgical Center,22422,Ambulatory Care Center,1133 East Chestnut Avenue,South Vineland,NJ,8360,"SOUTH VINELAND, NJ  08360",Cumberland,39.4779217,-75.0051957,"1133 East Chestnut Avenue, South Vineland, NJ, US"
NJ1090,"Hospital-Based, Off-Site Ambulatory Care Facility",1090,Ambulatory Care Facility At140 E Ridgewood Avenue,140 East Ridgewood Avenue,Paramus,NJ,7652,"PARAMUS, NJ  07652",Bergen,40.9717225,-74.0899871,"140 East Ridgewood Avenue, Paramus, NJ, US"
NJ24067,Ambulatory Surgical Center,24067,"Ambulatory Center For Endoscopy, Llc","7600 River Road, 4Th Floor",North Bergen,NJ,7047,"NORTH BERGEN, NJ  07047",Hudson,40.791268,-73.998927,"7600 River Road, 4Th Floor, North Bergen, NJ, US"
NJ23459,Ambulatory Surgical Center,23459,Ambulatory Center For Excellence In Surgery,1255 Broad Street,Bloomfield,NJ,7003,"BLOOMFIELD, NJ  07003",Essex,40.8331609,-74.1804796,"1255 Broad Street, Bloomfield, NJ, US"
NJ31C0001141,Ambulatory Surgical Center,22900,Ambulatory Surgery Center At Old Bridge,"400 Perrine Road, Suite 408",Old Bridge,NJ,8857,"OLD BRIDGE, NJ  08857",Middlesex,40.435043,-74.300196,"400 Perrine Road, Suite 408, Old Bridge, NJ, US"
NJ24381,Ambulatory Surgical Center,24381,Ambulatory Surgery Center At Virtua Washington Twp,"239 Hurfville-Crosskeys Road, Suite 180",Sewell,NJ,8080,"SEWELL, NJ  08080",Gloucester,39.724813,-75.050433,"239 Hurfville-Crosskeys Road, Suite 180, Sewell, NJ, US"
NJR24487,Surgical Practice,R24487,Ambulatory Surgical Center At Basking Ridge,140 Allen Road,Basking Ridge,NJ,7920,"BASKING RIDGE, NJ  07920",Somerset,40.652574,-74.594515,"140 Allen Road, Basking Ridge, NJ, US"
NJR24612,Surgical Practice,R24612,Ambulatory Surgical Center At Basking Ridge L.L.C.,81 Veronica Avenue,Somerset,NJ,8873,"SOMERSET, NJ  08873",Somerset,40.4783473,-74.4979531,"81 Veronica Avenue, Somerset, NJ, US"
NJR24667,Surgical Practice,R24667,"Ambulatory Surgical Center Of Englewood, Llc",25 Rockwood Place #105,Englewood,NJ,7631,"ENGLEWOOD, NJ  07631",Bergen,40.8793524,-73.9831384,"25 Rockwood Place #105, Englewood, NJ, US"
NJ90053,Ambulatory Surgical Center,R24540,"Ambulatory Surgical Center Of New Jersey, Llc",5 Progress Street-Suite 2,Edison,NJ,8820,"EDISON, NJ  08820",Middlesex,40.59742,-74.359444,"5 Progress Street-Suite 2, Edison, NJ, US"
NJR25143,Nan,R25143,"Ambulatory Surgical Center Of Pompton Lakes, Llc",111 Wanaque Avenue,Pompton Lakes,NJ,7442,"POMPTON LAKES, NJ  07442",Passaic,41.0062793,-74.2913153,"111 Wanaque Avenue, Pompton Lakes, NJ, US"
NJ24257,Ambulatory Surgical Center,24257,Ambulatory Surgical Center Of Somerset,"1081 Route 22 W, Suite 200",Bridgewater,NJ,8807,"BRIDGEWATER, NJ  08807",Somerset,40.580351,-74.597839,"1081 Route 22 W, Suite 200, Bridgewater, NJ, US"
NJ24098,Ambulatory Surgical Center,24098,"Ambulatory Surgical Center Of Somerville, Llc",1 Route 206,Somerville,NJ,8876,"SOMERVILLE, NJ  08876",Somerset,40.560151,-74.618674,"1 Route 206, Somerville, NJ, US"
NJ1246,Ambulatory Surgical Center,24670,Ambulatory Surgical Pavilion At Robert Wood Johnson,"10 Plum Street, Fourth Floor",New Brunswick,NJ,8901,"NEW BRUNSWICK, NJ  08901",Middlesex,40.493907,-74.451652,"10 Plum Street, Fourth Floor, New Brunswick, NJ, US"
NJ24824,Ambulatory Surgical Center,24824,Ambulatory Surgical Pavilion Of New Jersey,600 S White Horse Pike,Hammonton,NJ,8037,"HAMMONTON, NJ  08037",Atlantic,39.6451157,-74.7849269,"600 S White Horse Pike, Hammonton, NJ, US"
NJ317047,Home Health Agency,70202,Amedisys Home Health,"21 Main Street, Suite 252",Hackensack,NJ,7601,"HACKENSACK, NJ  07601",Bergen,40.8790276,-74.0466572,"21 Main Street, Suite 252, Hackensack, NJ, US"
NJ22614,Hospice Care Program,22614,Amedisys Hospice,"21 Main Street, Suite 253",Hackensack,NJ,7601,"HACKENSACK, NJ  07601",Bergen,40.8790276,-74.0466572,"21 Main Street, Suite 253, Hackensack, NJ, US"
NJ23288,Ambulatory Surgical Center,23288,American Access Care Of New Jersey,"207 King Highway South, Suite 2",Cherry Hill,NJ,8034,"CHERRY HILL, NJ  08034",Camden,39.927616,-75.04842,"207 King Highway South, Suite 2, Cherry Hill, NJ, US"
NJ23951,Ambulatory Care Facility,23951,"American Imaging Of Union City, L.L.C.",120-152 48Th Street,Union City,NJ,7087,"UNION CITY, NJ  07087",Hudson,40.779654,-74.017241,"120-152 48Th Street, Union City, NJ, US"
NJ25106,Ambulatory Care Facility,25106,Ami Atlanticare,517 Route 72 West,Manahawkin,NJ,8050,"MANAHAWKIN, NJ  08050",Ocean,39.698529,-74.265896,"517 Route 72 West, Manahawkin, NJ, US"
NJ24383,Ambulatory Care Facility,24383,Ami Atlanticare,219 N White Horse Pike,Hammonton,NJ,8037,"HAMMONTON, NJ  08037",Atlantic,39.6392919,-74.7782926,"219 N White Horse Pike, Hammonton, NJ, US"
NJ25134,Hospice Care Branch,25134,Angelic Hospice,"1050 Mantua Pike, 1St Floor",Wenonah,NJ,8090,"WENONAH, NJ  08090",Gloucester,39.806792,-75.167222,"1050 Mantua Pike, 1St Floor, Wenonah, NJ, US"
NJ24763,Hospice Care Program,24763,Angelic Hospice,"8025 Black Horse Pike, Suite 501",West Atlantic City,NJ,8232,"WEST ATLANTIC CITY, NJ  08232",Atlantic,39.3784651,-74.4901974,"8025 Black Horse Pike, Suite 501, West Atlantic City, NJ, US"
NJ11201,General Acute Care Hospital,11201,Anthony M. Yelencsics Community Hospital,65 James Street,Edison,NJ,8818,"EDISON, NJ  08818",Middlesex,40.5563574,-74.3501777,"65 James Street, Edison, NJ, US"
NJ23182,Ambulatory Surgical Center,23182,Ap Surgery Center,1692 Oak Tree Road,Edison,NJ,8820,"EDISON, NJ  08820",Middlesex,40.5757417,-74.3759415,"1692 Oak Tree Road, Edison, NJ, US"
NJR24515,Surgical Practice,R24515,Apple Surgical Center Llc,"15 Village Drive, Pob 70",Cape May Court House,NJ,8210,"CAPE MAY COURT HOUSE, NJ  08210",Cape May,39.091864,-74.818462,"15 Village Drive, Pob 70, Cape May Court House, NJ, US"
NJ24977,Ambulatory Care Facility,24977,Aq Modern Diagnostic Imaging,315 Elmora Avenue,Elizabeth,NJ,7208,"ELIZABETH, NJ  07208",Union,40.6661465,-74.2341907,"315 Elmora Avenue, Elizabeth, NJ, US"
NJ25170,Ambulatory Care Facility,25170,"Aq Radiology, Llc",472 Union Boulevard,Totowa,NJ,7512,"TOTOWA, NJ  07512",Passaic,40.9012752,-74.2159779,"472 Union Boulevard, Totowa, NJ, US"
NJ24694,End Stage Renal Dialysis,24694,Ara Great Falls Dialysis,498 E 30Th Street,Paterson,NJ,7504,"PATERSON, NJ  07504",Passaic,40.9106474,-74.1464187,"498 E 30Th Street, Paterson, NJ, US"
NJ1394,"Hospital-Based, Off-Site Ambulatory Care Facility",1394,Armc Cancer Care Institute Cape May Co Campus,106 Court House South Dennis Road,Cape May Court House,NJ,8210,"CAPE MAY COURT HOUSE, NJ  08210",Cape May,39.089265,-74.819481,"106 Court House South Dennis Road, Cape May Court House, NJ, US"
NJ1252,"Hospital-Based, Off-Site Ambulatory Care Facility",1252,Armc Wound Healing Center,"2500 English Creek Avenue, Building 701",Egg Harbor Township,NJ,8234,"EGG HARBOR TOWNSHIP, NJ  08234",Atlantic,39.3887472,-74.6399688,"2500 English Creek Avenue, Building 701, Egg Harbor Township, NJ, US"
NJ1259,"Hospital-Based, Off-Site Ambulatory Care Facility",1259,Armc Wound Healing Center At Hammonton,219 N White Horse Pike,Hammonton,NJ,8037,"HAMMONTON, NJ  08037",Atlantic,39.6392919,-74.7782926,"219 N White Horse Pike, Hammonton, NJ, US"
NJ1256,"Hospital-Based, Off-Site Ambulatory Care Facility",1256,Armc-Cancer Care Institute,"2500 English Creek Avenue, Building 400",Egg Harbor Township,NJ,8234,"EGG HARBOR TOWNSHIP, NJ  08234",Atlantic,39.3887472,-74.6399688,"2500 English Creek Avenue, Building 400, Egg Harbor Township, NJ, US"
NJ1254,"Hospital-Based, Off-Site Ambulatory Care Facility",1254,Armc-Mainland Satellite Emergency Department,219 N White Horse Pike,Hammonton,NJ,8037,"HAMMONTON, NJ  08037",Atlantic,39.6392919,-74.7782926,"219 N White Horse Pike, Hammonton, NJ, US"
NJ317082,Home Health Agency,22256,Ascend Home Health,"365 West Passaic Street, Suite 115",Rochelle Park,NJ,7662,"ROCHELLE PARK, NJ  07662",Bergen,40.9179619,-74.0847481,"365 West Passaic Street, Suite 115, Rochelle Park, NJ, US"
NJ311541,Hospice Care Program,22841,Ascend Hospice,"1600 St George Avenue, Suite 312",Rahway,NJ,7065,"RAHWAY, NJ  07065",Union,40.606167,-74.279045,"1600 St George Avenue, Suite 312, Rahway, NJ, US"
NJ50311,Psychiatric Hospital,50311,Aspen Hills Healthcare Center,600 Pemberton-Browns Mills Road,Pemberton,NJ,8068,"PEMBERTON, NJ  08068",Burlington,39.96654,-74.638361,"600 Pemberton-Browns Mills Road, Pemberton, NJ, US"
NJ25132,Ambulatory Care Facility,25132,Atlantic Advanced Urgent Care,"333 Route 46, Suite 106",Mountain Lakes,NJ,7046,"MOUNTAIN LAKES, NJ  07046",Morris,40.889025,-74.523968,"333 Route 46, Suite 106, Mountain Lakes, NJ, US"
NJ312537,End Stage Renal Dialysis,22290,Atlantic Artificial Kidney Center,6 Industrial Way West Bldg-B,Eatontown,NJ,7724,"EATONTOWN, NJ  07724",Monmouth,40.27604,-74.049093,"6 Industrial Way West Bldg-B, Eatontown, NJ, US"
NJ80129,Ambulatory Care Facility,80129,Atlantic City Teen Services Center,1400 No Albany Ave  Ac-High Sch,Atlantic City,NJ,8401,"ATLANTIC CITY, NJ  08401",Atlantic,39.370356,-74.476764,"1400 No Albany Ave  Ac-High Sch, Atlantic City, NJ, US"
22326,Ambulatory Surgical Center,22326,Atlantic Coastal Surgery Center,"301 Central Avenue, Suite A",Egg Harbor Township,NJ,8234,"EGG HARBOR TOWNSHIP, NJ  08234",Atlantic,39.366532,-74.590966,"301 Central Avenue, Suite A, Egg Harbor Township, NJ, US"
NJ24914,End Stage Renal Dialysis,24914,Atlantic County Dialysis,"400 W Black Horse Pike, Suite 3",Pleasantville,NJ,8232,"PLEASANTVILLE, NJ  08232",Atlantic,39.3901044,-74.5245857,"400 W Black Horse Pike, Suite 3, Pleasantville, NJ, US"
NJ1149,"Hospital-Based, Off-Site Ambulatory Care Facility",1149,Atlantic Health Sleep Centers,"5 Regent Street, Suite 512",Livingston,NJ,7039,"LIVINGSTON, NJ  07039",Essex,40.7981059,-74.3540636,"5 Regent Street, Suite 512, Livingston, NJ, US"
NJ317054,Home Health Agency,22410,Atlantic Home Care & Hospice,"465 South Street, Suite 100",Morristown,NJ,7960,"MORRISTOWN, NJ  07960",Morris,40.7745309,-74.4673648,"465 South Street, Suite 100, Morristown, NJ, US"
NJ22658,Hospice Care Program,22658,Atlantic Home Care And Hospice,"465 South Street, Suite 100",Morristown,NJ,7962,"MORRISTOWN, NJ  07962",Morris,40.7745309,-74.4673648,"465 South Street, Suite 100, Morristown, NJ, US"
NJ1382,"Hospital-Based, Off-Site Ambulatory Care Facility",1382,Atlantic Maternal Fetal Medicine,"435 South Street, Suite 380",Morristown,NJ,7962,"MORRISTOWN, NJ  07962",Morris,40.7763628,-74.4671617,"435 South Street, Suite 380, Morristown, NJ, US"
NJ1350,"Hospital-Based, Off-Site Ambulatory Care Facility",1350,Atlantic Maternal Fetal Medicine At Bridgewater,784-792 Chimney Rock Road,Martinsville,NJ,8836,"MARTINSVILLE, NJ  08836",Somerset,40.59831,-74.560226,"784-792 Chimney Rock Road, Martinsville, NJ, US"
NJ24413,Ambulatory Care Facility,24413,Atlantic Medical Imaging,455 Jack Martin Boulevard,Brick,NJ,8724,"BRICK, NJ  08724",Ocean,40.0806872,-74.1343702,"455 Jack Martin Boulevard, Brick, NJ, US"
NJ23263,Ambulatory Care Facility,23263,Atlantic Medical Imaging,"1450 East Chestnut Avenue, Building 4",Vineland,NJ,8361,"VINELAND, NJ  08361",Cumberland,39.480309,-75.053623,"1450 East Chestnut Avenue, Building 4, Vineland, NJ, US"
NJ24186,Ambulatory Care Facility,24186,Atlantic Medical Imaging,"864 Route 37 West, West Hills Plaza",Toms River,NJ,8755,"TOMS RIVER, NJ  08755",Ocean,40.000279,-74.141802,"864 Route 37 West, West Hills Plaza, Toms River, NJ, US"
NJ23367,Ambulatory Care Facility,23367,Atlantic Medical Imaging,1119 Highway 77,Bridgeton,NJ,8302,"BRIDGETON, NJ  08302",Cumberland,39.467494,-75.206429,"1119 Highway 77, Bridgeton, NJ, US"
NJ23214,Ambulatory Care Facility,23214,Atlantic Medical Imaging,1226 Tilton Road,Northfield,NJ,8225,"NORTHFIELD, NJ  08225",Atlantic,39.3748169,-74.5532645,"1226 Tilton Road, Northfield, NJ, US"
NJ23955,Ambulatory Care Facility,23955,Atlantic Medical Imaging Wall Township,2399 North Highway 34,Manasquan,NJ,8736,"MANASQUAN, NJ  08736",Monmouth,40.125303,-74.082664,"2399 North Highway 34, Manasquan, NJ, US"
NJ23026CM,Ambulatory Care Facility,23026,"Atlantic Medical Imaging,  Cape May Court House",421 Route 9 North,Cape May Court House,NJ,8210,"CAPE MAY COURT HOUSE, NJ  08210",Cape May,39.08261,-74.82378,"421 Route 9 North, Cape May Court House, NJ, US"
NJ22942,Ambulatory Care Facility,22942,"Atlantic Medical Imaging, L.L.C. Galloway Township",44 East Jimmie Leeds Road,Galloway Township,NJ,8205,"GALLOWAY TOWNSHIP, NJ  08205",Atlantic,39.4732156,-74.5203601,"44 East Jimmie Leeds Road, Galloway Township, NJ, US"
NJ22928,Ambulatory Care Facility,22928,"Atlantic Medical Imaging, Llc",30 East Maryland Avenue,Somers Point,NJ,8244,"SOMERS POINT, NJ  08244",Atlantic,39.3191638,-74.5903606,"30 East Maryland Avenue, Somers Point, NJ, US"
NJ25078,Ambulatory Care Facility,25078,Atlantic Medical Imaging-Bhp Office,6529 Black Horse Pike,Egg Harbor Township,NJ,8234,"EGG HARBOR TOWNSHIP, NJ  08234",Atlantic,39.4207249,-74.5866973,"6529 Black Horse Pike, Egg Harbor Township, NJ, US"
NJ11404MKD,Comprehensive Rehabilitation Hospital,11404,Atlantic Rehabilitation Institute,200 Madison Avenue,Madison,NJ,7940,"MADISON, NJ  07940",Morris,40.7758345,-74.4434859,"200 Madison Avenue, Madison, NJ, US"
NJ31C0001061,Surgical Practice,R24623,Atlantic Surgery Center,"279 Third Avenue, Suite105",Long Branch,NJ,7740,"LONG BRANCH, NJ  07740",Monmouth,34.02153,-84.788088,"279 Third Avenue, Suite105, Long Branch, NJ, US"
NJ25182,Ambulatory Surgical Center,25182,Atlanticare Center For Orthopedic Surgery,"2500 English Creek Avenue, Suite 1201",Egg Harbor Twp,NJ,8234,"EGG HARBOR TWP, NJ  08234",Atlantic,39.3887472,-74.6399688,"2500 English Creek Avenue, Suite 1201, Egg Harbor Twp, NJ, US"
NJ25111,Ambulatory Care Facility - Satellite,25111,Atlanticare Health Services-Galloway Fqhc,54 West Jimmie Leeds Road,Galloway Township,NJ,8205,"GALLOWAY TOWNSHIP, NJ  08205",Atlantic,39.476049,-74.538598,"54 West Jimmie Leeds Road, Galloway Township, NJ, US"
