Facility_Name,Type,Street_Address,City,Zip,County,State,Facility Location,Latitude,Longitude
MidState Medical Center,Acute Care Hospital,435 Lewis Avenue,Meriden,6451,New Haven,CT,"(41.550036, -72.803878)",41.550036,-72.803878
"Hospital of Central Connecticut, The",Acute Care Hospital,100 Grand Street,New Britain,6052,Hartford,CT,"(41.662015, -72.787799)",41.662015,-72.787799
"Windham Community Memorial Hospital, Inc.",Acute Care Hospital,112 Mansfield Avenue,Willimantic,6226,Windham,CT,"(41.716794, -72.223996)",41.716794,-72.223996
"Milford Hospital, Inc., The",Acute Care Hospital,300 Seaside Avenue,Milford,6460,New Haven,CT,"(41.217141, -73.064332)",41.217141,-73.064332
Day Kimball Hospital,Acute Care Hospital,320 Pomfret Street,Putnam,6260,Windham,CT,"(41.907746, -71.914692)",41.907746,-71.914692
"Waterbury Hospital, The",Acute Care Hospital,64 Robbins Street,Waterbury,6708,New Haven,CT,"(41.558269, -73.058608)",41.558269,-73.058608
Atria Stamford,Assisted Living Service Agency,77 3Rd St,Stamford,69054722,Fairfield,CT,POINT (-73.538768 41.065308),41.065308,-73.538768
Duncaster Assisted Living Services Agency,Assisted Living Service Agency,40 Loeffler Rd,Bloomfield,60022262,Hartford,CT,POINT (-72.76466 41.828776),41.828776,-72.76466
Bal Meriden Llc,Assisted Living Service Agency,511 Kensington Ave,Meriden,64512062,New Haven,CT,POINT (-72.810164 41.553166),41.553166,-72.810164
Brookdale Farmington,Assisted Living Service Agency,20 Devonwood Dr,Farmington,60321417,Hartford,CT,POINT (-72.842081 41.739985),41.739985,-72.842081
Bsl Fairfield Llc,Assisted Living Service Agency,448 Mill Plan Road,Fairfield,6824,Fairfield,CT,POINT (-73.266738 41.14644),41.14644,-73.266738
Artis Senior Living Of Branford,Assisted Living Service Agency,814 E Main St,Branford,64052920,New Haven,CT,POINT (-72.749485 41.308551),41.308551,-72.749485
Pomperaug Woods,Assisted Living Service Agency,80 Heritage Rd,Southbury,64881882,New Haven,CT,POINT (-73.217482 41.482196),41.482196,-73.217482
Brighton Gardens Of Stamford Alsa,Assisted Living Service Agency,59 Roxbury Rd,Stamford,69021283,Fairfield,CT,POINT (-73.56296 41.08957),41.08957,-73.56296
Merry-Go-Round Inc.,Assisted Living Service Agency,1/2 Bolling Pl,Greenwich,68306540,Fairfield,CT,POINT (-73.628363 41.023759),41.023759,-73.628363
Seabury,Assisted Living Service Agency,200 Seabury Dr,Bloomfield,60022650,Hartford,CT,POINT (-72.706488 41.833335),41.833335,-72.706488
Atria Glastonbury,Assisted Living Service Agency,1177 Hebron Ave,Glastonbury,60335008,,CT,POINT (-72.565688 41.718233),41.718233,-72.565688
Fairfield County House,Assisted Living Service Agency,1 Den Rd,Stamford,69021113,Fairfield,CT,POINT (-73.575065 41.096419),41.096419,-73.575065
Sunrise Of Stamford,Assisted Living Service Agency,251 Turn Of River Rd,Stamford,69051320,Fairfield,CT,POINT (-73.544443 41.110815),41.110815,-73.544443
Maplewood At Danbury Alsa Llc,Assisted Living Service Agency,1 Gorham Is,Westport,68803217,,CT,POINT (-73.362577 41.143759),41.143759,-73.362577
Care Link Corporation,Assisted Living Service Agency,580 Long Hill Ave,Shelton,64844803,,CT,POINT (-73.098429 41.281236),41.281236,-73.098429
The Roses At Guilford House,Assisted Living Service Agency,109 West Lake Avenue,Guilford,64371352,,CT,POINT (-72.725116 41.311477),41.311477,-72.725116
Brookdale Wilton,Assisted Living Service Agency,96 Danbury Rd,Wilton,68974409,Fairfield,CT,POINT (-73.416578 41.173046),41.173046,-73.416578
Bal Avon Llc,Assisted Living Service Agency,101 Bickford Ext,Avon,60013741,Hartford,CT,POINT (-72.842518 41.812096),41.812096,-72.842518
Atria Greenridge Place,Assisted Living Service Agency,1 Elizabeth Ct,Rocky Hill,60671187,Hartford,CT,POINT (-72.674737 41.667831),41.667831,-72.674737
"Ellington Assisted Living Services, Llc",Assisted Living Service Agency,123 West Rd,Ellington,60295729,Hartford,CT,POINT (-72.464188 41.884518),41.884518,-72.464188
"Residence At Summer Street, The",Assisted Living Service Agency,14 Second Street,Stamford,69055103,Fairfield,CT,POINT (-73.542044 41.063554),41.063554,-73.542044
"Covenant Living Of Cromwell, Inc.",Assisted Living Service Agency,52 Missionary Rd,Cromwell,64162170,Middlesex,CT,POINT (-72.660908 41.600427),41.600427,-72.660908
Bal Windsor Llc,Assisted Living Service Agency,432 Buckland Rd,South Windsor,60743741,Hartford,CT,POINT (-72.552781 41.822542),41.822542,-72.552781
Mclean Affilates Inc.,Assisted Living Service Agency,75 Great Pond Rd,Simsbury,60701980,Hartford,CT,POINT (-72.824809 41.885251),41.885251,-72.824809
Bal Ridgefield Llc,Assisted Living Service Agency,640 Danbury Rd,Ridgefield,68772740,Fairfield,CT,POINT (-73.474933 41.324173),41.324173,-73.474933
"Mcauley Center, Inc., The",Assisted Living Service Agency,275 Steele Rd,West Hartford,61172765,Hartford,CT,POINT (-72.724347 41.783653),41.783653,-72.724347
Hebrew Community Services Inc.,Assisted Living Service Agency,1 Abrahms Blvd,West Hartford,61171508,Hartford,CT,POINT (-72.728931 41.802774),41.802774,-72.728931
"Ksms Connecticut, Inc.",Assisted Living Service Agency,1058 Litchfield St,Torrington,67906029,Litchfield,CT,POINT (-73.141985 41.788523),41.788523,-73.141985
Masonicare Home Health And Hospice,Assisted Living Service Agency,104 South Turnpike Road,Wallingford,6492,New Haven,CT,POINT (-72.845175 41.446386),41.446386,-72.845175
Brightview Shelton,Assisted Living Service Agency,30 Beard Sawmill Road,Shelton,6484,,CT,POINT (-73.115602 41.276975),41.276975,-73.115602
"Greens At Cannondale, The",Assisted Living Service Agency,435 Danbury Rd,Wilton,68972031,Fairfield,CT,POINT (-73.430209 41.215492),41.215492,-73.430209
Avalon Health Care Center At Stoneridge,Assisted Living Service Agency,186 Jerry Browne Rd,Mystic,63554004,New London,CT,POINT (-71.949571 41.37512),41.37512,-71.949571
Brookdale Buckingham,Assisted Living Service Agency,1824 Manchester Rd,Glastonbury,60331832,,CT,POINT (-72.52021 41.730072),41.730072,-72.52021
Elim Park Baptist Home Inc.,Assisted Living Service Agency,140 Cook Hill Rd,Cheshire,64103736,New Haven,CT,POINT (-72.900936 41.466811),41.466811,-72.900936
Brightview On New Canaan,Assisted Living Service Agency,162 New Canaan Ave,Norwalk,68501916,Fairfield,CT,POINT (-73.439401 41.129127),41.129127,-73.439401
Bal Brookfield Llc,Assisted Living Service Agency,246A Federal Rd,Brookfield,68042652,Fairfield,CT,POINT (-73.404301 41.44501),41.44501,-73.404301
Meadow Ridge,Assisted Living Service Agency,100 Redding Rd,Redding,68963236,Fairfield,CT,POINT (-73.425508 41.263538),41.263538,-73.425508
Bal Mystic Llc,Assisted Living Service Agency,20 Academy Ln,Mystic,63552557,New London,CT,POINT (-71.97156 41.356613),41.356613,-71.97156
Stonebrook Village At Windsor Locks,Assisted Living Service Agency,550 Old County Rd,Windsor Locks,60961514,Hartford,CT,POINT (-72.656962 41.909754),41.909754,-72.656962
Orchards At Southington Inc.,Assisted Living Service Agency,34 Hobart St,Southington,64893366,Hartford,CT,POINT (-72.876441 41.606384),41.606384,-72.876441
Arden Courts Of Farmington Ct Llc,Assisted Living Service Agency,45 South Rd,Farmington,60322022,Hartford,CT,POINT (-72.799001 41.725058),41.725058,-72.799001
Utopia Assisted Living Services Inc.,Assisted Living Service Agency,444 Foxon Rd,East Haven,65132037,New Haven,CT,POINT (-72.841571 41.323984),41.323984,-72.841571
Maplewood At Stony Hill,Assisted Living Service Agency,46 Stony Hill Rd,Bethel,68013034,Fairfield,CT,POINT (-73.385072 41.415293),41.415293,-73.385072
Bal Milford Llc,Assisted Living Service Agency,77 Plains Rd,Milford,64612564,New Haven,CT,POINT (-73.075329 41.222554),41.222554,-73.075329
Maplewood At Newtown,Assisted Living Service Agency,166 Mount Pleasant Rd,Newtown,64701456,Fairfield,CT,POINT (-73.366622 41.415915),41.415915,-73.366622
Spring Village At Stratford,Assisted Living Service Agency,6911 Main Street,Stratford,6614,Fairfield,CT,POINT (-73.10197 41.247009),41.247009,-73.10197
Bal Waterbury Llc,Assisted Living Service Agency,180 Scott Rd,Waterbury,67053284,New Haven,CT,POINT (-72.977856 41.532751),41.532751,-72.977856
Essex Meadows,Assisted Living Service Agency,30 Bokum Road,Essex,6426,Middlesex,CT,POINT (-72.410763 41.338327),41.338327,-72.410763
Atria Ridgefield,Assisted Living Service Agency,55 Old Quarry Road,Ridgefield,6877,Fairfield,CT,POINT (-73.492068 41.288114),41.288114,-73.492068
Eagle Pointe Llc,Assisted Living Service Agency,1 Canal Rd,Suffield,60781921,Hartford,CT,POINT (-72.612137 41.985928),41.985928,-72.612137
Manchester Manor Assisted Living Services Agency,Assisted Living Service Agency,385 W Center St,Manchester,60404738,Hartford,CT,POINT (-72.552621 41.769734),41.769734,-72.552621
Church Hill  Village,Assisted Living Service Agency,2 Boulevard,Newtown,64701602,Fairfield,CT,POINT (-73.30058 41.41495),41.41495,-73.30058
Brookdale Place Of West Hartford Llc,Assisted Living Service Agency,22 Simsbury Rd,West Hartford,61171444,Hartford,CT,POINT (-72.72196 41.797336),41.797336,-72.72196
"Watermark At East Hill Woods, The",Assisted Living Service Agency,611 East Hill Road,Southbury,6488,New Haven,CT,POINT (-73.241049 41.485015),41.485015,-73.241049
Luther Ridge At Middletown Inc.,Assisted Living Service Agency,628 Congdon St W,Middletown,64577939,Middlesex,CT,POINT (-72.694591 41.570091),41.570091,-72.694591
Brookdale Chatfield,Assisted Living Service Agency,1 Chatfield Dr,West Hartford,61102802,Hartford,CT,POINT (-72.752873 41.727893),41.727893,-72.752873
"Shoreline Of Clinton, The",Assisted Living Service Agency,Nan,Clinton,6413,Middlesex,CT,POINT (-72.528067 41.278677),41.278677,-72.528067
Waveny Care Center Health Services Inc.,Assisted Living Service Agency,3 Farm Rd,New Canaan,68406626,Fairfield,CT,POINT (-73.493667 41.128529),41.128529,-73.493667
Avery Heights Assisted Living Services Agency,Assisted Living Service Agency,705 New Britain Avenue,Hartford,61064263,Hartford,CT,POINT (-72.705383 41.733277),41.733277,-72.705383
Suffield By The River,Assisted Living Service Agency,7 Canal Rd,Suffield,60781970,Hartford,CT,POINT (-72.613305 41.985924),41.985924,-72.613305
Maplewood At Strawberry Hill,Assisted Living Service Agency,73 Strawberry Hill Ave,Norwalk,68551476,Fairfield,CT,POINT (-73.398881 41.109301),41.109301,-73.398881
"Residence At South Windsor Farms, The",Assisted Living Service Agency,200 Deming Way,South Windsor,6074,Hartford,CT,POINT (-72.552788 41.820807),41.820807,-72.552788
Brandywine Living At Litchfield,Assisted Living Service Agency,19 Constitution Way,Litchfield,67593428,Litchfield,CT,POINT (-73.2049 41.743708),41.743708,-73.2049
Assisted Living Services Agency At Creamery Brook,Assisted Living Service Agency,36 Vina Ln,Brooklyn,62341937,Windham,CT,POINT (-71.944691 41.782419),41.782419,-71.944691
Livewell Connecticut,Assisted Living Service Agency,1261 S Main St,Plantsville,64791750,Hartford,CT,POINT (-72.895847 41.573158),41.573158,-72.895847
Bal Rocky Hill Llc,Assisted Living Service Agency,1160 Elm Street Ext,Rocky Hill,60671812,Hartford,CT,POINT (-72.679839 41.658021),41.658021,-72.679839
Atria Crossroads Place,Assisted Living Service Agency,1 Beechwood Dr,Waterford,63851227,New London,CT,POINT (-72.157421 41.366678),41.366678,-72.157421
Geer Village,Assisted Living Service Agency,77 S Canaan Rd,Canaan,60182517,Litchfield,CT,POINT (-73.332737 42.017975),42.017975,-73.332737
Bal East Haven Llc,Assisted Living Service Agency,111 S Shore Dr,East Haven,65124661,New Haven,CT,POINT (-72.877458 41.245779),41.245779,-72.877458
Meadow Mills Assisted Living & Memory Care,Assisted Living Service Agency,153 Leeder Hill Dr,Hamden,65172731,New Haven,CT,POINT (-72.921723 41.346298),41.346298,-72.921723
Residence At Brookside The,Assisted Living Service Agency,117 Simsbury Road,Avon,6001,Hartford,CT,POINT (-72.829948 41.817597),41.817597,-72.829948
"Greens At Greenwich, The",Assisted Living Service Agency,1155 King St,Greenwich,68313246,Fairfield,CT,POINT (-73.693756 41.058793),41.058793,-73.693756
Spring Meadows Trumbull,Assisted Living Service Agency,6949 Main St,Trumbull,66116304,Fairfield,CT,POINT (-73.240181 41.289161),41.289161,-73.240181
Bridges By Epoch At Norwalk,Assisted Living Service Agency,123 Richards Ave,Norwalk,68541611,Fairfield,CT,POINT (-73.451794 41.097296),41.097296,-73.451794
Shady Oaks Assisted Living Llc,Assisted Living Service Agency,344 Stevens St,Bristol,60102769,Hartford,CT,POINT (-72.915675 41.714199),41.714199,-72.915675
Brookdale South Windsor,Assisted Living Service Agency,1715 Ellington Rd,South Windsor,60742707,Hartford,CT,POINT (-72.556214 41.826801),41.826801,-72.556214
Bal Niantic Llc,Assisted Living Service Agency,417 Main St,Niantic,63573144,New London,CT,POINT (-72.199095 41.322286),41.322286,-72.199095
"Bal Edgehill, Llc",Assisted Living Service Agency,122 Palmers Hill Rd,Stamford,69022134,Fairfield,CT,POINT (-73.565584 41.059385),41.059385,-73.565584
Maplewood At Darien,Assisted Living Service Agency,599 Post Rd,Darien,68203609,Fairfield,CT,POINT (-73.465011 41.082315),41.082315,-73.465011
"Linden At Woodbridge, The",Assisted Living Service Agency,330 Amity Rd,Woodbridge,65252131,New Haven,CT,POINT (-72.988123 41.349764),41.349764,-72.988123
Farmington Station A Senior Living Residence,Assisted Living Service Agency,111 Scott Swamp Rd,Farmington,60322861,Hartford,CT,POINT (-72.857734 41.704071),41.704071,-72.857734
Sacred Heart Manor Inc.,Assisted Living Service Agency,261 Benham St,Hamden,65142801,New Haven,CT,POINT (-72.932224 41.364958),41.364958,-72.932224
Maplewood At Southport,Assisted Living Service Agency,917 Mill Hill Ter,Southport,68901262,Fairfield,CT,POINT (-73.286844 41.144245),41.144245,-73.286844
Hearth Management Llc,Assisted Living Service Agency,100 Bradley Rd,Madison,64432688,New Haven,CT,POINT (-72.596605 41.283097),41.283097,-72.596605
Bal Woodbridge Llc,Assisted Living Service Agency,21 Bradley Rd,Woodbridge,65252294,New Haven,CT,POINT (-72.982582 41.343605),41.343605,-72.982582
"Cascades, The",Assisted Living Service Agency,13 Park Lawn Dr,Bethel,68011043,Fairfield,CT,POINT (-73.398195 41.425007),41.425007,-73.398195
Commons Of Newtown The,Assisted Living Service Agency,139 Toddy Hill Road,Newtown,6470,Fairfield,CT,POINT (-73.258982 41.382079),41.382079,-73.258982
One Macdonough Place,Assisted Living Service Agency,1 Macdonough Pl,Middletown,64573607,Middlesex,CT,POINT (-72.646473 41.555899),41.555899,-72.646473
Anthology Of Farmington,Assisted Living Service Agency,1 Bridgewater Rd,Farmington,60322256,Hartford,CT,POINT (-72.852117 41.73951),41.73951,-72.852117
Maplewood At Orange,Assisted Living Service Agency,245 Indian River Rd,Orange,64773668,,CT,POINT (-73.000132 41.263913),41.263913,-73.000132
"Spring Village At Danbury, Llc",Assisted Living Service Agency,8 Glen Hill Road,Danbury,6811,Fairfield,CT,POINT (-73.448186 41.414573),41.414573,-73.448186
Evergreen Woods,Assisted Living Service Agency,88 Notch Hill Road,North Branford,6471,,CT,POINT (-72.751087 41.317083),41.317083,-72.751087
"Landing Of North Haven, The",Assisted Living Service Agency,201 Clintonville Road,North Haven,6473,New Haven,CT,POINT (-72.827199 41.404869),41.404869,-72.827199
Atria Hamilton Heights,Assisted Living Service Agency,Fern Street At One Hamilton Heights Drive,West Hartford,6119,Hartford,CT,POINT (-72.721722 41.770222),41.770222,-72.721722
Jewish Senior Services,Assisted Living Service Agency,4200 Park Avenue,Bridgeport,6604,Fairfield,CT,POINT (-73.23149 41.212038),41.212038,-73.23149
Whitney Center Incorporated,Assisted Living Service Agency,200 Leeder Hill Dr,Hamden,65172749,New Haven,CT,POINT (-72.920674 41.34892),41.34892,-72.920674
Atria Litchfield Hills,Assisted Living Service Agency,376 Goshen Rd,Torrington,67902722,Litchfield,CT,POINT (-73.15464 41.820838),41.820838,-73.15464
Bsl Shelton Llc,Assisted Living Service Agency,708 Bridgeport Ave # A,Shelton,64844734,,CT,POINT (-73.124392 41.274858),41.274858,-73.124392
Bal Middletown Llc,Assisted Living Service Agency,645 Saybrook Rd,Middletown,64574746,Middlesex,CT,POINT (-72.61955 41.538898),41.538898,-72.61955
The Residence At Selleck'S Woods,Assisted Living Service Agency,1 Parkland Dr,Darien,68203627,Fairfield,CT,POINT (-73.459857 41.083349),41.083349,-73.459857
Bal Trumbull Llc,Assisted Living Service Agency,2750 Reservoir Ave,Trumbull,66115715,Fairfield,CT,POINT (-73.196145 41.237926),41.237926,-73.196145
Bal Hamden Llc,Assisted Living Service Agency,35 Hamden Hills Dr,Hamden,65185322,New Haven,CT,POINT (-72.910228 41.388808),41.388808,-72.910228
Bridges By Epoch At Trumbull,Assisted Living Service Agency,2415 Reservoir Ave,Trumbull,66114752,Fairfield,CT,POINT (-73.195757 41.233874),41.233874,-73.195757
Watermark At Home,Assisted Living Service Agency,3030 Park Ave,Bridgeport,66041138,Fairfield,CT,POINT (-73.219717 41.198599),41.198599,-73.219717
Atria Larson Place,Assisted Living Service Agency,1450 Whitney Ave,Hamden,65172451,New Haven,CT,POINT (-72.913115 41.353404),41.353404,-72.913115
The Residence At Ferry Park,Assisted Living Service Agency,60 Cold Spring Rd,Rocky Hill,60673175,Hartford,CT,POINT (-72.678712 41.644186),41.644186,-72.678712
Atria Darien,Assisted Living Service Agency,50 Ledge Rd,Darien,68204439,Fairfield,CT,POINT (-73.484302 41.071484),41.071484,-73.484302
Yale Health In-Patient Care,Nursing Facility,"55 Lock Street, P.O. Box 208237",New Haven,,New Haven,CT,POINT (-72.928332 41.31551),41.31551,-72.928332
Fox Hill Center,Nursing Facility,1253 Hartford Turnpike,Vernon,,Tolland,CT,POINT (-72.434371 41.858421),41.858421,-72.434371
Beechwood,Nursing Facility,31 Vauxhall Street,New London,,New London,CT,POINT (-72.104438 41.361035),41.361035,-72.104438
Kimberly Hall North,Nursing Facility,1 Emerson Drive,Windsor,,Hartford,CT,POINT (-72.666767 41.837832),41.837832,-72.666767
"Mattatuck Health Care Facility, Inc.",Nursing Facility,9 Cliff Street,Waterbury,,New Haven,CT,POINT (-73.045851 41.560756),41.560756,-73.045851
Newington Rapid Recovery Rehab Center,Nursing Facility,240 Church Street,Newington,,Hartford,CT,POINT (-72.73936300000001 41.665919),41.665919,-72.739363
Village Green of Bristol Rehabilitation and Health Center,Nursing Facility,23 Fair Street,Bristol,,Hartford,CT,POINT (-72.902506 41.679856),41.679856,-72.902506
Watertown Convalarium,Nursing Facility,560 Woodbury Road,Watertown,,Litchfield,CT,POINT (-73.138173 41.60198),41.60198,-73.138173
Ludlowe Center for Health and Rehabilitation,Nursing Facility,118 Jefferson Street,Fairfield,,Fairfield,CT,POINT (-73.24397 41.223753),41.223753,-73.24397
New London Sub-Acute and Nursing,Nursing Facility,88 Clark Lane,Waterford,,New London,CT,POINT (-72.127527 41.34864),41.34864,-72.127527
Mystic Healthcare and Rehabilitation Center,Nursing Facility,475 High Street,Mystic,,New London,CT,POINT (-71.974014 41.364388),41.364388,-71.974014
Governor's House,Nursing Facility,36 Firetown Road,Simsbury,,Hartford,CT,POINT (-72.811606 41.872974),41.872974,-72.811606
The Guilford House,Nursing Facility,109 West Lake Avenue,Guilford,,New Haven,CT,POINT (-72.725116 41.311477),41.311477,-72.725116
Riverside Health and Rehabilitation Center,Nursing Facility,745 Main Street,East Hartford,,Hartford,CT,POINT (-72.64546 41.766505),41.766505,-72.64546
"Kettle Brook Care Center, dba Fresh River Healthcare",Nursing Facility,96 Prospect Hill Road,East Windsor,,Hartford,CT,POINT (-72.606229 41.925372),41.925372,-72.606229
Yale Health In-Patient Care,Nursing Facility,"55 Lock Street, P.O. Box 208237",New Haven,,New Haven,CT,POINT (-72.928332 41.31551),41.31551,-72.928332
"Glastonbury Health Care Center, Inc.",Nursing Facility,1175 Hebron Avenue,Glastonbury,,Hartford,CT,POINT (-72.565754 41.71823),41.71823,-72.565754
"Middlebury Convalescent Home, Inc.",Nursing Facility,"778 Middlebury Road, P.O. Box L",Middlebury,,New Haven,CT,POINT (-73.115064 41.537781),41.537781,-73.115064
Silver Springs Care Center,Nursing Facility,33 Roy Street,Meriden,,New Haven,CT,POINT (-72.804701 41.525279),41.525279,-72.804701
Saint John Paul II Center,Nursing Facility,33 Lincoln Avenue,Danbury,,Fairfield,CT,POINT (-73.454729 41.384584),41.384584,-73.454729
Bel-Air Manor Nursing & Rehabilitation Center,Nursing Facility,256 New Britain Avenue,Newington,,Hartford,CT,POINT (-72.73245 41.674685),41.674685,-72.73245
Portland  Care and Rehabilitation Centre,Nursing Facility,333 Main Street,Portland,,Middlesex,CT,POINT (-72.636328 41.578561),41.578561,-72.636328
The Willows,Nursing Facility,225 Amity Road,Woodbridge,,New Haven,CT,POINT (-72.983417 41.342128),41.342128,-72.983417
"Connecticut Baptist Homes, Inc.",Nursing Facility,292 Thorpe Avenue,Meriden,,New Haven,CT,POINT (-72.75518000000001 41.515835),41.515835,-72.75518
"Chelsea Place Care Center, LLC",Nursing Facility,25 Lorraine Street,Hartford,,Hartford,CT,POINT (-72.705431 41.767714),41.767714,-72.705431
Seabury Health Center,Nursing Facility,200 Seabury Drive,Bloomfield,,Hartford,CT,POINT (-72.706488 41.833335),41.833335,-72.706488
Apple Rehab Shelton Lakes,Nursing Facility,5 Lake Road,Shelton,,Fairfield,CT,POINT (-73.115165 41.313756),41.313756,-73.115165
Skyview Center,Nursing Facility,35 Marc Drive,Wallingford,,New Haven,CT,POINT (-72.846279 41.453355),41.453355,-72.846279
Bayview Health Care,Nursing Facility,301 Rope Ferry Road,Waterford,,New London,CT,POINT (-72.165413 41.327443),41.327443,-72.165413
Milford Health and Rehabilitlation Center,Nursing Facility,195 Platt Street,Milford,,New Haven,CT,POINT (-73.019075 41.212196),41.212196,-73.019075
"Twin Maples Home, Inc.",Nursing Facility,"809 R New Haven Road, P.O. Box 423",Durham,,Middlesex,CT,POINT (-72.720881 41.436968),41.436968,-72.720881
Glendale Center,Nursing Facility,4 Hazel Avenue,Naugatuck,,New Haven,CT,POINT (-73.036733 41.469038),41.469038,-73.036733
Apple Rehab Shelton Lakes,Nursing Facility,5 Lake Road,Shelton,,Fairfield,CT,POINT (-73.115165 41.313756),41.313756,-73.115165
Governor's House,Nursing Facility,36 Firetown Road,Simsbury,,Hartford,CT,POINT (-72.811606 41.872974),41.872974,-72.811606
Apple Rehab Farmington Valley,Nursing Facility,269 Farmington Avenue,Plainville,,Hartford,CT,POINT (-72.852841 41.685968),41.685968,-72.852841
The Nathaniel Witherell,Nursing Facility,70 Parsonage Road,Greenwich,,Fairfield,CT,POINT (-73.624382 41.059487),41.059487,-73.624382
"Paradigm Healthcare Center Prospect, LLC",Nursing Facility,25 Royal Crest Drive,Prospect,,New Haven,CT,POINT (-72.972096 41.513545),41.513545,-72.972096
Apple Rehab Shelton Lakes,Nursing Facility,5 Lake Road,Shelton,,Fairfield,CT,POINT (-73.115165 41.313756),41.313756,-73.115165
McLean Health Center,Nursing Facility,75 Great Pond Road,Simsbury,,Hartford,CT,POINT (-72.824809 41.885251),41.885251,-72.824809
Portland  Care and Rehabilitation Centre,Nursing Facility,333 Main Street,Portland,,Middlesex,CT,POINT (-72.636328 41.578561),41.578561,-72.636328
Meadowbrook of Granby,Nursing Facility,350 Salmon Brook Street,Granby,,Hartford,CT,POINT (-72.790996 41.964404),41.964404,-72.790996
Westfield Care and Rehabilitation Center,Nursing Facility,65 Westfield Road,Meriden,,New Haven,CT,POINT (-72.780579 41.547965),41.547965,-72.780579
Cassena Care at New Britain,Nursing Facility,66 Clinic Drive,New Britain,,Hartford,CT,POINT (-72.786309 41.648365),41.648365,-72.786309
Greentree Manor Nursing and Rehab Center,Nursing Facility,4 Greentree Drive,Waterford,,New London,CT,POINT (-72.145458 41.394072),41.394072,-72.145458
Northbridge Healthcare Center,Nursing Facility,2875 Main Street,Bridgeport,,Fairfield,CT,POINT (-73.203493 41.201508),41.201508,-73.203493
Apple Rehab Avon d/b/a Brightview Nursing and Retirement,Nursing Facility,220 Scoville Road,Avon,,Hartford,CT,POINT (-72.860962 41.7759),41.7759,-72.860962
"Gardner Heights Health Care Center, Inc.",Nursing Facility,172 Rocky Rest Road,Shelton,,Fairfield,CT,POINT (-73.095187 41.286437),41.286437,-73.095187
