Facility ID,Facility Name,Description,Facility Address 1,Facility City,Facility State,Facility Zip Code,Facility County,Facility Latitude,Facility Longitude,Facility Location,Full Address
1217,St Patricks Home,Residential Health Care Facility - SNF,66 Van Cortlandt Park South,Bronx,New York,10463,Bronx,40.884361,-73.888451,"(40.884361, -73.888451)","66 Van Cortlandt Park South, Bronx, NY, US"
1820,"Prime Home Health Services, LLC",Certified Home Health Agency,3125 Emmons Avenue,Brooklyn,New York,11235,Kings,40.584164,-73.934738,"(40.584164, -73.934738)","3125 Emmons Avenue, Brooklyn, NY, US"
124,Elcor Nursing and Rehabilitation Center,Residential Health Care Facility - SNF,48 Colonial Drive,Horseheads,New York,14845,Chemung,42.162085999999995,-76.854225,"(42.162085999999995, -76.854225)","48 Colonial Drive, Horseheads, NY, US"
4326,Segundo Ruiz Belvis D & T Center,Diagnostic and Treatment Center,545 East 142nd Street,Bronx,New York,10454,Bronx,40.810146,-73.916794,"(40.810146, -73.916794)","545 East 142nd Street, Bronx, NY, US"
5764,Alcohol Outpatient Clinic,Hospital Extension Clinic,264 West Dominick Street,Rome,New York,13440,Oneida,-75.459349,43.211622999999996,"(-75.459349, 43.211622999999996)","264 West Dominick Street, Rome, NY, US"
3119,Bassett Healthcare Oneonta,Hospital Extension Clinic,125 Main Street,Oneonta,New York,13820,Otsego,42.45277,-75.063469,"(42.45277, -75.063469)","125 Main Street, Oneonta, NY, US"
9119,Crystal Run Ambulatory Surgery Center of Middletown,Diagnostic and Treatment Center,95 Crystal Run Road,Middletown,New York,10940,Orange,41.450043,-74.357803,"(41.450043, -74.357803)","95 Crystal Run Road, Middletown, NY, US"
8509,Vassar Bros Hosp Wound Care Center,Hospital Extension Clinic,21 Fox Street,Poughkeepsie,New York,12601,Dutchess,41.691917,-73.93441800000001,"(41.691917, -73.93441800000001)","21 Fox Street, Poughkeepsie, NY, US"
10279,IDCC Health Services,Diagnostic and Treatment Center Extension Clinic,2846 Stillwell Avenue,Brooklyn,New York,11224,Kings,40.5779852,-73.98200609999999,"(40.5779852, -73.9820061)","2846 Stillwell Avenue, Brooklyn, NY, US"
5574,Fort Greene District Health Center,Diagnostic and Treatment Center Extension Clinic,295 Flatbush Avenue Extension,Brooklyn,New York,11201,Kings,40.691814,-73.982254,"(40.691814, -73.982254)","295 Flatbush Avenue Extension, Brooklyn, NY, US"
4806,Fresenius Kidney Care - Niagara,Diagnostic and Treatment Center Extension Clinic,3018 Military Road,Niagara Falls,New York,14304,Niagara,43.113121,-78.990509,"(43.113121, -78.990509)","3018 Military Road, Niagara Falls, NY, US"
7579,Queens Dialysis Center,Diagnostic and Treatment Center Extension Clinic,"118-01,05,07A Guy Brewer Boulevard",Jamaica,New York,11434,Queens,40.683594,-73.78253199999999,"(40.683594, -73.78253199999999)","118-01,05,07A Guy Brewer Boulevard, Jamaica, NY, US"
1653,Corona Health Center,Diagnostic and Treatment Center Extension Clinic,34-33 Junction Boulevard,Corona,New York,11372,Queens,40.754082000000004,-73.872108,"(40.754082000000004, -73.872108)","34-33 Junction Boulevard, Corona, NY, US"
10373,New York Center For Ambulatory Surgery,Diagnostic and Treatment Center,1210 Second Avenue,New York,New York,10065,New York,42.8014698,-73.9513316,"(42.8014698, -73.9513316)","1210 Second Avenue, New York, NY, US"
6252,North Country Family Health Center - Lowville,Diagnostic and Treatment Center Extension Clinic,7785 North State St,Lowville,New York,13367,Jefferson,43.795677000000005,-75.49814599999999,"(43.795677000000005, -75.49814599999999)","7785 North State St, Lowville, NY, US"
4419,Hempstead Community Health Center,Diagnostic and Treatment Center,135 Main Street,Hempstead,New York,11550,Nassau,40.711121,-73.625961,"(40.711121, -73.625961)","135 Main Street, Hempstead, NY, US"
5967,South Troy Primary Care Center,Hospital Extension Clinic,79 Vandenburgh Avenue,Troy,New York,12180,Rensselaer,42.696467999999996,-73.68811,"(42.696467999999996, -73.68811)","79 Vandenburgh Avenue, Troy, NY, US"
6650,"Comprehensive Health Care & Rehabilitation Services, LLC",Diagnostic and Treatment Center,148 Wilson Avenue,Brooklyn,New York,11237,Kings,40.700390000000006,-73.925308,"(40.700390000000006, -73.925308)","148 Wilson Avenue, Brooklyn, NY, US"
10355,David H. Koch Center For Cancer Care,Hospital,530 East 74th Street,New York,New York,10021,New York,40.767779299999994,-73.9520836,"(40.7677793, -73.9520836)","530 East 74th Street, New York, NY, US"
4606,PS 1,School Based Hospital Extension Clinic,309 47th Street,Brooklyn,New York,11220,Kings,40.649162,-74.012375,"(40.649162, -74.012375)","309 47th Street, Brooklyn, NY, US"
1185,Montefiore Medical Center - Montefiore Westchester Square,Hospital,2475 St. Raymond Avenue,Bronx,New York,10461,Bronx,40.840431,-73.848244,"(40.840431, -73.848244)","2475 St. Raymond Avenue, Bronx, NY, US"
10290,Downtown Brooklyn Dialysis,Diagnostic and Treatment Center Extension Clinic,133 Mill Street,Brooklyn,New York,11231,Kings,40.6751095,-74.0012889,"(40.6751095, -74.0012889)","133 Mill Street, Brooklyn, NY, US"
7868,MS 88 Peter Rouget,School Based Hospital Extension Clinic,544 7th Ave,Brooklyn,New York,11215,Kings,40.660053000000005,-73.987686,"(40.660053000000005, -73.987686)","544 7th Ave, Brooklyn, NY, US"
3096,South Beach Psychiatric Center,Hospital Extension Clinic,777 Seaview Avenue,Staten Island,New York,10305,Richmond,40.579605,-74.078171,"(40.579605, -74.078171)","777 Seaview Avenue, Staten Island, NY, US"
4715,Renal Care of Buffalo,Diagnostic and Treatment Center Extension Clinic,550 Orchard Park Road,West Seneca,New York,14224,Erie,42.832264,-78.779503,"(42.832264, -78.779503)","550 Orchard Park Road, West Seneca, NY, US"
683,Ontario Center for Rehabilitation and Healthcare,Residential Health Care Facility - SNF,3062 County Complex Drive,Canandaigua,New York,14424,Ontario,42.884578999999995,-77.21176899999999,"(42.884578999999995, -77.21176899999999)","3062 County Complex Drive, Canandaigua, NY, US"
9015,Health Opportunities High School,School Based Diagnostic and Treatment Center Extension Clinic,350 Gerard Avenue,Bronx,New York,10453,Bronx,40.815704,-73.93044300000001,"(40.815704, -73.93044300000001)","350 Gerard Avenue, Bronx, NY, US"
4492,FMS-Morris Park,Diagnostic and Treatment Center Extension Clinic,1325 Morris Park Avenue,Bronx,New York,10461,Bronx,40.851326,-73.844727,"(40.851326, -73.844727)","1325 Morris Park Avenue, Bronx, NY, US"
274,Comprehensive Rehabilitation and Nursing Center at Williamsville,Residential Health Care Facility - SNF,147 Reist Street,Williamsville,New York,14221,Erie,42.965672,-78.751503,"(42.965672, -78.751503)","147 Reist Street, Williamsville, NY, US"
9197,Mosaic Health Mt. Morris,Diagnostic and Treatment Center Extension Clinic,1 Murray Hill Drive,Mount Morris,New York,14510,Livingston,42.727592,-77.879791,"(42.727592, -77.879791)","1 Murray Hill Drive, Mount Morris, NY, US"
6146,F-SLH Regional Cancer Center Rome,Hospital Extension Clinic,91 Perimeter Road,Rome,New York,13341,Oneida,43.226517,-75.427368,"(43.226517, -75.427368)","91 Perimeter Road, Rome, NY, US"
3865,Phelps Psychiatric Clinic,Hospital Extension Clinic,12 Schumann Court,Briarcliff,New York,10510,Westchester,41.144116,-73.860401,"(41.144116, -73.860401)","12 Schumann Court, Briarcliff, NY, US"
3722,Cumberland Diagnostic & Treatment Center,Diagnostic and Treatment Center,100 North Portland Avenue,Brooklyn,New York,11205,Kings,40.695091,-73.97625699999999,"(40.695091, -73.97625699999999)","100 North Portland Avenue, Brooklyn, NY, US"
6968,Good Samaritan Hosp Pre-Surg Testing,Hospital Extension Clinic,15 Park Avenue,Bay Shore,New York,11706,Suffolk,40.721145,-73.249374,"(40.721145, -73.249374)","15 Park Avenue, Bay Shore, NY, US"
6984,Eastern Niagara Hospital at Davison Ct,Hospital Extension Clinic,64 Davison Court,Lockport,New York,14094,Niagara,43.154987,-78.664078,"(43.154987, -78.664078)","64 Davison Court, Lockport, NY, US"
9381,Clifton Springs Family Medicine,Hospital Extension Clinic,165 East Union Street,Newark,New York,14513,Wayne,43.046654,-77.093529,"(43.046654, -77.093529)","165 East Union Street, Newark, NY, US"
9726,Advantage Care Diagnostic and Treatment Center - Freeport,Diagnostic and Treatment Center Extension Clinic,230 Hanse Avenue,Freeport,New York,11520,Nassau,40.645609,-73.570932,"(40.645609, -73.570932)","230 Hanse Avenue, Freeport, NY, US"
1469,Mount Sinai Morningside,Hospital,1111 Amsterdam Avenue,New York,New York,10025,New York,40.805912,-73.961639,"(40.805912, -73.961639)","1111 Amsterdam Avenue, New York, NY, US"
7045,Greene Medical Arts,Hospital Extension Clinic,159 Jefferson Heights,Catskill,New York,12414,Columbia,42.231709,-73.878197,"(42.231709, -73.878197)","159 Jefferson Heights, Catskill, NY, US"
181,Vassar Brothers Medical Center,Hospital,45 Reade Place,Poughkeepsie,New York,12601,Dutchess,41.694523,-73.935799,"(41.694523, -73.935799)","45 Reade Place, Poughkeepsie, NY, US"
7034,PHC-Outpatient Rehabilitation Services,Hospital Extension Clinic,2985 Navajo Road,Yorktown,New York,10598,Putnam,41.337845,-73.784317,"(41.337845, -73.784317)","2985 Navajo Road, Yorktown, NY, US"
9331,Fulton Medical Health Center,Hospital Extension Clinic,510 S. Fourth Street,Fulton,New York,13069,Oswego,43.314819,-76.405846,"(43.314819, -76.405846)","510 S. Fourth Street, Fulton, NY, US"
6676,Southern Tier Community Health Center Network Inc,Diagnostic and Treatment Center Extension Clinic,9864 Lucky Drive,Houghton,New York,14744,Allegany,42.42638,-78.162651,"(42.42638, -78.162651)","9864 Lucky Drive, Houghton, NY, US"
6709,WIHD Mobile Dental Van,Diagnostic and Treatment Center Extension Clinic,325 Cedarwood Hall,Valhalla,New York,10595,Westchester,41.08506,-73.807222,"(41.08506, -73.807222)","325 Cedarwood Hall, Valhalla, NY, US"
4689,New Dorp High School,School Based Hospital Extension Clinic,465 New Dorp Lane,Staten Island,New York,10306,Richmond,40.569302,-74.107338,"(40.569302, -74.107338)","465 New Dorp Lane, Staten Island, NY, US"
6546,Elizabethtown Community Health Center,Primary Care Hospital - Critical Access Hospital Extension Clinic,"66 Park Street, P.O. Box 277",Elizabethtown,New York,12932,Essex,44.215958,-73.597115,"(44.215958, -73.597115)","66 Park Street, P.O. Box 277, Elizabethtown, NY, US"
5710,Nassau Rehabilitation & Nursing Center,Residential Health Care Facility - SNF,One Greenwich Street,Hempstead,New York,11550,Nassau,40.706181,-73.623581,"(40.706181, -73.623581)","One Greenwich Street, Hempstead, NY, US"
9058,URMC Ambulatory Center,Hospital Extension Clinic,180 Sawgrass Drive,Rochester,New York,14620,Monroe,43.113632,-77.607651,"(43.113632, -77.607651)","180 Sawgrass Drive, Rochester, NY, US"
6610,"Century Medical & Dental Center, Inc.",Diagnostic and Treatment Center,260 Avenue X,Brooklyn,New York,11223,Kings,40.590153,-73.973213,"(40.590153, -73.973213)","260 Avenue X, Brooklyn, NY, US"
10063,Lourdes Orthopedics - Southside,Hospital Extension Clinic,65 Pennsylvania Avenue,Binghamton,New York,13903,Broome,42.085966,-75.916465,"(42.085966, -75.916465)","65 Pennsylvania Avenue, Binghamton, NY, US"
6066,Middle School 142,School Based Hospital Extension Clinic,3750 Baychester Avenue,Bronx,New York,10466,Bronx,40.885578,-73.84072900000001,"(40.885578, -73.84072900000001)","3750 Baychester Avenue, Bronx, NY, US"
9786,Montefiore Medical Center - Wellness Center at Port Morris,Hospital Extension Clinic,804 East 138th Street,Bronx,New York,10454,Bronx,40.803387,-73.91041,"(40.803387, -73.91041)","804 East 138th Street, Bronx, NY, US"
6487,Enrico Fermi Dental Clinic,Diagnostic and Treatment Center Extension Clinic,158 Orchard Street,Rochester,New York,14611,Monroe,43.158569,-77.634438,"(43.158569, -77.634438)","158 Orchard Street, Rochester, NY, US"
6920,"New York GI Center, LLC",Diagnostic and Treatment Center,1200 Waters Place,Bronx,New York,10461,Bronx,40.846287,-73.84209399999999,"(40.846287, -73.84209399999999)","1200 Waters Place, Bronx, NY, US"
10340,X098,School Based Hospital Extension Clinic,1619 Boston Road,Bronx,New York,10460,Bronx,40.8363314,-73.890325,"(40.8363314, -73.890325)","1619 Boston Road, Bronx, NY, US"
895,John T Mather Memorial Hospital of Port Jefferson New York Inc,Hospital,75 North Country Road,Port Jefferson,New York,11777,Suffolk,40.938159999999996,-73.053894,"(40.938159999999996, -73.053894)","75 North Country Road, Port Jefferson, NY, US"
10204,Parsons Community Health Center,Diagnostic and Treatment Center Extension Clinic,90-37 Parsons Boulevard,Jamaica,New York,11432,Queens,40.704076,-73.800264,"(40.704076, -73.800264)","90-37 Parsons Boulevard, Jamaica, NY, US"
5510,Lenox Hill Hosp Center for Mental Health,Hospital Extension Clinic,1430 Second Avenue,New York,New York,10021,New York,40.770443,-73.957077,"(40.770443, -73.957077)","1430 Second Avenue, New York, NY, US"
3423,Bellhaven Center for Rehabilitation and Nursing Care,Residential Health Care Facility - SNF,110 Beaver Dam Road,Brookhaven,New York,11719,Suffolk,40.772403999999995,-72.933739,"(40.772403999999995, -72.933739)","110 Beaver Dam Road, Brookhaven, NY, US"
647,Jewish Home of Central New York,Residential Health Care Facility - SNF,4101 E Genesee St,Syracuse,New York,13214,Onondaga,43.036986999999996,-76.07579799999999,"(43.036986999999996, -76.07579799999999)","4101 E Genesee St, Syracuse, NY, US"
10068,"Sidney R. Baer, Jr. Health Center",Diagnostic and Treatment Center Extension Clinic,347 West 37th Street,New York,New York,10018,New York,40.755128000000006,-73.993941,"(40.755128000000006, -73.993941)","347 West 37th Street, New York, NY, US"
5991,Heuvelton Health Center,Hospital Extension Clinic,103 Rensselaer Street,Heuvelton,New York,13654,Saint Lawrence,44.620853000000004,-75.397072,"(44.620853000000004, -75.397072)","103 Rensselaer Street, Heuvelton, NY, US"
9821,NSUH Imaging at Huntington,Hospital Extension Clinic,284 Pulaski Road,Greenlawn,New York,11740,Suffolk,40.858694,-73.388543,"(40.858694, -73.388543)","284 Pulaski Road, Greenlawn, NY, US"
9519,Friedwald Center For Dialysis,Diagnostic and Treatment Center,475 New Hempstead Road,New City,New York,10956,Rockland,41.149361,-74.031448,"(41.149361, -74.031448)","475 New Hempstead Road, New City, NY, US"
7509,Bronx River Dialysis,Diagnostic and Treatment Center Extension Clinic,1616 Bronxdale Avenue,Bronx,New York,10462,Bronx,40.844165999999994,-73.857681,"(40.844165999999994, -73.857681)","1616 Bronxdale Avenue, Bronx, NY, US"
9182,Fort Edward - Kingsbury Health Center,Diagnostic and Treatment Center Extension Clinic,48 East Street,Fort Edward,New York,12828-1811,Washington,43.269222,-73.58277700000001,"(43.269222, -73.58277700000001)","48 East Street, Fort Edward, NY, US"
3986,"Health Services of Northern New York, Inc.",Certified Home Health Agency,56 Market Street,Potsdam,New York,13676,Saint Lawrence,44.670826,-74.986778,"(44.670826, -74.986778)","56 Market Street, Potsdam, NY, US"
1705,Dry Harbor Nursing Home,Residential Health Care Facility - SNF,61-35 Dry Harbor Road,Middle Village,New York,11379,Queens,40.726879,-73.87168100000001,"(40.726879, -73.87168100000001)","61-35 Dry Harbor Road, Middle Village, NY, US"
1878,Visiting Nurse Association of Utica and Oneida County Inc,Certified Home Health Agency,1650 Champlin Avenue,Utica,New York,13502,Oneida,43.099613,-75.27552800000001,"(43.099613, -75.27552800000001)","1650 Champlin Avenue, Utica, NY, US"
9230,His Branches Inc,Diagnostic and Treatment Center,340 Arnett Boulevard,Rochester,New York,14619,Monroe,43.142277,-77.642517,"(43.142277, -77.642517)","340 Arnett Boulevard, Rochester, NY, US"
9865,Oak Orchard Community Health Center Inc,Diagnostic and Treatment Center Extension Clinic,"7309 Seneca Rd N., Suite 112",Hornell,New York,14843,Steuben,42.324865,-77.660172,"(42.324865, -77.660172)","7309 Seneca Rd N., Suite 112, Hornell, NY, US"
10100,Bedford Health Clinic,Diagnostic and Treatment Center Extension Clinic,485 Throop Avenue,Brooklyn,New York,11221,Kings,40.685631,-73.941377,"(40.685631, -73.941377)","485 Throop Avenue, Brooklyn, NY, US"
1180,Ambulatory Psychiatric Center,Hospital Extension Clinic,411 West 114th Street,New York,New York,10025,New York,40.805019,-73.96067,"(40.805019, -73.96067)","411 West 114th Street, New York, NY, US"
10391,Allergy and Immunology Clinic of AMCH,Hospital Extension Clinic,176 Washington Avenue Extension,Albany,New York,12203,Albany,42.701122999999995,-73.852239,"(42.701123, -73.852239)","176 Washington Avenue Extension, Albany, NY, US"
3110,New York Presbyterian/Hudson Valley Diagnostic Radiology,Hospital Extension Clinic,35 South Riverside Avenue,Croton-On-Hudson,New York,10520,Westchester,41.204334,-73.890617,"(41.204334, -73.890617)","35 South Riverside Avenue, Croton-On-Hudson, NY, US"
484,St. Mary's Healthcare,Hospital,427 Guy Park Avenue,Amsterdam,New York,12010,Montgomery,42.953758,-74.21619399999999,"(42.953758, -74.21619399999999)","427 Guy Park Avenue, Amsterdam, NY, US"
7598,J T Mather Wound Care Clinic,Hospital Extension Clinic,1895 Walt Whitman Road,Melville,New York,11747,Suffolk,40.767159,-73.42484300000001,"(40.767159, -73.42484300000001)","1895 Walt Whitman Road, Melville, NY, US"
9785,John Adams High School,School Based Hospital Extension Clinic,101-01 Rockaway Blvd,Jamaica,New York,11417,Queens,40.678603,-73.83697,"(40.678603, -73.83697)","101-01 Rockaway Blvd, Jamaica, NY, US"
6288,Ryan/Chelsea-Clinton Community Health Center,Diagnostic and Treatment Center,645 Tenth Ave,New York,New York,10036,New York,40.76181,-73.99395,"(40.76181, -73.99395)","645 Tenth Ave, New York, NY, US"
1828,ArchCare at Home,Certified Home Health Agency,"115 East Stevens Avenue, Suites 104 & 105",Valhalla,New York,10595,Westchester,41.098178000000004,-73.77247,"(41.098178000000004, -73.77247)","115 East Stevens Avenue, Suites 104 & 105, Valhalla, NY, US"
6176,Cazenovia Senior Services,Adult Day Health Care Program - Offsite,2753 Route 20,Cazenovia,New York,13035,Madison,42.920025,-75.813019,"(42.920025, -75.813019)","2753 Route 20, Cazenovia, NY, US"
9979,PS 352/375,School Based Hospital Extension Clinic,46 McKeever Pl.,Brooklyn,New York,11225,Kings,40.665013,-73.959099,"(40.665013, -73.959099)","46 McKeever Pl., Brooklyn, NY, US"
4295,Fifth Avenue Surgery Center,Diagnostic and Treatment Center,1049 Fifth Avenue,New York,New York,10028,New York,40.781437,-73.960388,"(40.781437, -73.960388)","1049 Fifth Avenue, New York, NY, US"
10269,Wingate Dialysis,Diagnostic and Treatment Center Extension Clinic,550 Kingston Avenue,Brooklyn,New York,11203,Kings,40.6604286,-73.94270379999999,"(40.6604286, -73.9427038)","550 Kingston Avenue, Brooklyn, NY, US"
10237,Mobile Eye Clinic,Mobile Diagnostic and Treatment Center Extension Clinic,97-04 Sutphin Boulevard,Jamaica,New York,11432,Queens,40.696952200000005,-73.80578709999999,"(40.6969522, -73.8057871)","97-04 Sutphin Boulevard, Jamaica, NY, US"
9069,Cornwall Radiation Oncology Services,Diagnostic and Treatment Center,15 Laurel Avenue,Cornwall,New York,12518,Orange,41.435596000000004,-74.041466,"(41.435596000000004, -74.041466)","15 Laurel Avenue, Cornwall, NY, US"
7838,Penn Fair Medical & Pediatric Group,Hospital Extension Clinic,2067 Fairport Nine Mile Point Road,Penfield,New York,14526,Monroe,43.133369,-77.441788,"(43.133369, -77.441788)","2067 Fairport Nine Mile Point Road, Penfield, NY, US"
971,Garnet Health Medical Center - Catskills,Hospital,68 Harris-Bushville Road P.O. Box 800,Harris,New York,12742,Sullivan,41.72656,-74.755208,"(41.72656, -74.755208)","68 Harris-Bushville Road P.O. Box 800, Harris, NY, US"
6199,MS 363,School Based Diagnostic and Treatment Center Extension Clinic,120 E 184th St,Bronx,New York,10453,Bronx,40.859722,-73.90020799999999,"(40.859722, -73.90020799999999)","120 E 184th St, Bronx, NY, US"
7653,Stony Brook Family Practice Center,Hospital Extension Clinic,181 Belle Mead Road,East Setauket,New York,11733,Suffolk,40.900539,-73.089203,"(40.900539, -73.089203)","181 Belle Mead Road, East Setauket, NY, US"
7533,Frederick Douglas Academy,School Based Diagnostic and Treatment Center Extension Clinic,2581 Seventh Avenue,New York,New York,10039,New York,40.824013,-73.937134,"(40.824013, -73.937134)","2581 Seventh Avenue, New York, NY, US"
7617,SJHHC Northeast Medical Center,Hospital Extension Clinic,4208 Medical Center Drive,Fayetteville,New York,13066,Onondaga,43.039871000000005,-76.022354,"(43.039871000000005, -76.022354)","4208 Medical Center Drive, Fayetteville, NY, US"
10380,HRHCare Patchogue,Diagnostic and Treatment Center Extension Clinic,501 North Ocean Avenue,Patchogue,New York,11772,Suffolk,40.7810301,-73.01574699999999,"(40.7810301, -73.015747)","501 North Ocean Avenue, Patchogue, NY, US"
3378,Mental Health Clinic,Hospital Extension Clinic,1316 Fulton Avenue,Bronx,New York,10456,Bronx,40.832577,-73.903114,"(40.832577, -73.903114)","1316 Fulton Avenue, Bronx, NY, US"
2803,Planned Parenthood Corning Health Center,Diagnostic and Treatment Center Extension Clinic,35 West William Street,Corning,New York,14830,Steuben,42.14257,-77.05699200000001,"(42.14257, -77.05699200000001)","35 West William Street, Corning, NY, US"
6449,Brooklyn Medcare,Diagnostic and Treatment Center,445 Kings Highway,Brooklyn,New York,11223,Kings,40.604397,-73.973602,"(40.604397, -73.973602)","445 Kings Highway, Brooklyn, NY, US"
