Federal Provider Number,CT Credential Number,Level of Care,FACILITY NAME,FACILITY TELEPHONE,ADDRESS,TOWN,COUNTY,STATE,OWNERSHIP TYPE,MEDICARE CERTIFIED,MEDICAID CERTIFIED,Total Licensed Beds,Licensed CCNH Beds,Licensed CCNH Beds Occupied,Licensed RHNS Beds,Licensed RHNS Beds Occupied,CCNH Room Rate: PRIVATE (1 BED),CCNH Room Rate: SEMI-PRIVATE (2 BEDS),CCNH Room Rate: 3 - 4 BEDS,RHNS Room Rate: PRIVATE (1 BED),RHNS Room Rate: SEMI-PRIVATE (2 BEDS),RHNS Room Rate: 3 - 4 BEDS,Total number of patients,<18,18 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85 - 94,95 and older,Unknown age,Male,Female,Unknown gender,Married,Never married,Widowed,Separated,Divorced,Unknown marital status,White,African American,Hispanic or Latino Origin,American Indian or Alaskan Native,Asian or Pacific Islander,Other or Unknown,Medicaid fee-for-service -- CT,Medicaid fee-for-service -- Out of state,Medicaid managed care -- Out of state,Medicaid pending -- CT,Medicaid pending -- Out of state,Medicare fee-for-service (traditional),Medicare managed care,Veterans administration,CCRC -- Life Care,Long-term care insurance --  CT Partnership for Long-Term Care,Long-Term care insurance -- Not CT Partnership,Private insurance (not long-term care),Private pay (no insurance),Unknown Payment Source,Reporting Year,New Georeferenced Column
,,CCNH,Ludlowe Center for Health and Rehabilitation,(203) 372-4501,118 Jefferson Street,Fairfield,FAIRFIELD,CT,For Profit,true,true,144,144,142,0,0,550,535,,,,,142,0,0,0,0,3,10,20,41,52,16,0,47,95,0,34,26,64,0,18,0,104,26,10,0,2,0,75,0,0,8,0,24,15,0,0,0,0,0,20,0,2018,POINT (-73.24397 41.223753)
,,CCNH,The Reservoir,(860) 561-7022,One Emily Way,West Hartford,HARTFORD,CT,For Profit,true,true,75,75,69,0,0,502,470,,,,,69,0,0,0,0,1,6,9,15,33,5,0,21,48,0,28,3,27,0,11,0,64,2,1,0,2,0,28,0,0,2,0,20,6,0,0,0,0,7,6,0,2013,
,,CCNH,New London Sub-Acute and Nursing,(860) 442-0471,88 Clark Lane,Waterford,NEW_LONDON,CT,For Profit,true,true,120,120,110,0,0,425,375,,,,,110,0,0,0,0,8,10,29,30,29,4,0,44,66,0,20,19,40,6,21,4,86,13,6,0,3,2,87,0,0,2,0,7,3,0,1,0,0,1,9,0,2017,POINT (-72.127527 41.34864)
,,CCNH,Mystic Healthcare and Rehabilitation Center,(860) 536-6070,475 High Street,Mystic,NEW_LONDON,CT,For Profit,true,true,100,100,88,0,0,394,351,,,,,88,0,0,0,0,0,4,12,20,38,14,0,25,63,0,16,11,47,5,9,0,84,3,0,0,1,0,56,0,0,1,0,11,6,0,0,0,2,0,9,3,2014,POINT (-71.974014 41.364388)
,,CCNH,Governor's House,(860) 658-1018,36 Firetown Road,Simsbury,HARTFORD,CT,For Profit,true,true,73,73,60,0,0,502,458,,,,,60,0,0,0,0,0,8,4,18,26,4,0,15,45,0,0,0,0,0,0,60,56,3,1,0,0,0,43,0,0,0,0,9,2,0,0,0,0,1,5,0,2015,POINT (-72.811606 41.872974)
75235,2264,CCNH,The Guilford House,(203) 488-9142,109 West Lake Avenue,Guilford,NEW_HAVEN,CT,For Profit,true,true,75,75,61,0,0,465,430,,,,,61,0,0,0,0,1,1,4,19,28,8,0,23,38,0,17,6,33,0,5,0,60,0,0,0,1,0,26,0,0,0,0,13,0,0,0,0,0,7,15,0,2019,POINT (-72.725116 41.311477)
,,CCNH,Riverside Health and Rehabilitation Center,(860) 289-2791,745 Main Street,East Hartford,HARTFORD,CT,For Profit,true,true,345,345,320,0,0,461,441,,,,,320,0,0,2,3,16,55,74,104,58,8,0,112,208,0,73,94,76,9,68,0,165,49,46,0,4,56,277,0,0,13,0,10,6,0,0,0,0,5,9,0,2018,POINT (-72.64546 41.766505)
,,CCNH,"Kettle Brook Care Center, dba Fresh River Healthcare",(860) 623-9846,96 Prospect Hill Road,East Windsor,HARTFORD,CT,For Profit,true,true,140,140,139,0,0,457,428,,,,,139,0,0,4,1,13,39,37,27,17,1,0,69,70,0,14,66,20,2,37,0,102,25,12,0,0,0,131,0,0,3,0,1,0,0,0,0,0,1,3,0,2018,POINT (-72.606229 41.925372)
,,CCNH,Yale Health In-Patient Care,(203) 432-0004,"55 Lock Street, P.O. Box 208237",New Haven,NEW_HAVEN,CT,Non-profit,false,false,4,4,1,0,0,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,POINT (-72.928332 41.31551)
,,CCNH,"Glastonbury Health Care Center, Inc.",(860) 659-1905,1175 Hebron Avenue,Glastonbury,HARTFORD,CT,For Profit,true,true,105,105,103,0,0,503,478,431,,,,103,0,0,0,0,0,1,5,28,57,12,0,16,87,0,13,6,82,1,1,0,100,1,1,0,1,0,65,0,0,3,0,16,5,0,0,0,0,0,12,2,2014,POINT (-72.565754 41.71823)
,,CCNH,"Middlebury Convalescent Home, Inc.",(203) 758-2471,"778 Middlebury Road, P.O. Box L",Middlebury,NEW_HAVEN,CT,For Profit,true,true,58,58,54,0,0,365,340,,,,,54,0,0,0,0,0,0,1,7,32,14,0,9,45,0,7,3,43,0,1,0,54,0,0,0,0,0,31,0,0,2,0,3,0,0,0,1,3,0,13,1,2013,POINT (-73.115064 41.537781)
75337,2448,CCNH,Silver Springs Care Center,(203) 237-8457,33 Roy Street,Meriden,NEW_HAVEN,CT,For Profit,true,true,159,159,153,0,0,,449,449,,,,153,0,0,2,3,16,57,46,23,6,0,0,87,66,0,3,22,65,25,38,0,41,32,80,0,0,0,131,0,0,3,0,3,3,13,0,0,0,0,0,0,2019,POINT (-72.804701 41.525279)
,,CCNH,Saint John Paul II Center,(203) 797-9300,33 Lincoln Avenue,Danbury,FAIRFIELD,CT,For Profit,true,true,141,141,130,0,0,410,385,,,,,130,0,1,0,0,6,23,27,30,33,10,0,55,75,0,28,31,43,0,28,0,116,7,5,0,2,0,102,0,0,14,0,10,1,0,0,0,0,1,2,0,2018,POINT (-73.454729 41.384584)
,,CCNH,Bel-Air Manor Nursing & Rehabilitation Center,(860) 666-5689,256 New Britain Avenue,Newington,HARTFORD,CT,For Profit,true,true,71,71,65,0,0,434,393,,,,,65,0,0,0,0,1,2,2,17,36,7,0,12,53,0,11,11,38,0,5,0,63,2,0,0,0,0,27,0,0,3,0,20,7,1,0,0,0,0,7,0,2013,POINT (-72.73245 41.674685)
,,CCNH,Portland  Care and Rehabilitation Centre,(860) 342-0370,333 Main Street,Portland,MIDDLESEX,CT,For Profit,true,true,65,65,60,0,0,375,355,335,,,,60,0,0,0,0,0,2,9,11,29,9,0,14,46,0,12,6,36,1,5,0,58,0,1,0,1,0,34,0,0,0,0,6,4,0,0,0,0,0,16,0,2014,POINT (-72.636328 41.578561)
,,CCNH,The Willows,(203) 387-0076,225 Amity Road,Woodbridge,NEW_HAVEN,CT,For Profit,true,true,90,90,85,0,0,553,495,,,,,85,0,0,2,1,2,3,10,25,40,2,0,30,55,0,19,13,39,0,14,0,61,22,0,0,1,1,45,0,0,2,0,17,12,0,0,0,0,5,4,0,2017,POINT (-72.983417 41.342128)
,,CCNH/RHNS,"Connecticut Baptist Homes, Inc.",(203) 237-1206,292 Thorpe Avenue,Meriden,NEW_HAVEN,CT,Non-profit,true,true,60,30,29,30,30,450,406,,395,365,,59,0,0,0,0,0,0,1,9,39,10,0,11,48,0,11,1,42,0,5,0,57,0,2,0,0,0,42,0,0,3,0,2,0,0,0,0,0,0,12,0,2018,POINT (-72.75518000000001 41.515835)
,,CCNH,"Chelsea Place Care Center, LLC",(860) 233-8241,25 Lorraine Street,Hartford,HARTFORD,CT,For Profit,true,true,234,234,229,0,0,400,350,,,,,229,0,0,3,15,26,74,74,31,6,0,0,149,80,0,22,118,37,0,52,0,91,47,35,1,0,55,219,0,0,5,0,4,1,0,0,0,0,0,0,0,2017,POINT (-72.705431 41.767714)
,,CCNH,Seabury Health Center,(860) 243-6027,200 Seabury Drive,Bloomfield,HARTFORD,CT,Non-profit,true,true,60,60,60,0,0,470,470,,,,,60,0,0,0,0,0,0,2,13,34,11,0,15,45,0,15,5,30,0,6,4,55,3,1,0,0,1,14,0,0,0,0,12,0,0,19,0,1,1,13,0,2016,POINT (-72.706488 41.833335)
75237,2369,CCNH,Kimberly Hall South,(860) 688-6443,One Emerson Drive,Windsor,HARTFORD,CT,For Profit,true,true,180,180,102,0,0,408,390,363,,,,102,0,0,0,1,6,15,29,27,22,2,0,41,61,0,16,23,30,4,29,0,48,48,4,1,1,0,61,0,0,9,0,13,13,0,0,0,0,2,4,0,2019,
,,CCNH,Apple Rehab Shelton Lakes,(203) 924-2635,5 Lake Road,Shelton,FAIRFIELD,CT,For Profit,true,true,106,106,106,0,0,430,391,,,,,106,0,0,1,0,2,2,9,34,51,7,0,27,79,0,20,14,64,0,8,0,95,5,3,0,2,1,76,0,0,5,0,5,7,0,0,0,0,0,13,0,2013,POINT (-73.115165 41.313756)
,,CCNH,Skyview Center,(203) 265-0981,35 Marc Drive,Wallingford,NEW_HAVEN,CT,For Profit,true,true,97,97,93,0,0,383,368,,,,,93,0,0,0,0,3,10,14,20,34,12,0,31,62,0,18,14,49,2,10,0,83,5,2,0,2,1,70,0,0,5,0,6,3,0,0,0,0,0,7,2,2014,POINT (-72.846279 41.453355)
,,CCNH,Bayview Health Care,(860) 444-1175,301 Rope Ferry Road,Waterford,NEW_LONDON,CT,For Profit,true,true,127,127,122,0,0,450,440,,,,,122,0,0,0,2,4,7,11,36,52,10,0,33,89,0,20,20,68,1,13,0,116,2,2,0,1,1,89,0,0,12,0,10,1,0,0,0,0,0,6,4,2013,POINT (-72.165413 41.327443)
,,CCNH,Milford Health and Rehabilitlation Center,(203) 878-5958,195 Platt Street,Milford,NEW_HAVEN,CT,For Profit,true,true,120,120,117,0,0,505,455,,,,,117,0,0,0,0,1,3,14,36,49,14,0,19,98,0,27,17,60,0,13,0,112,3,2,0,0,0,75,0,0,8,0,10,14,0,0,0,0,1,7,2,2016,POINT (-73.019075 41.212196)
,,CCNH,"Twin Maples Home, Inc.",(860) 349-1041,"809 R New Haven Road, P.O. Box 423",Durham,MIDDLESEX,CT,For Profit,true,true,44,44,43,0,0,,275,4,,,,43,0,0,0,0,4,10,5,12,11,1,0,8,35,0,1,17,14,0,11,0,40,2,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,4,0,2014,POINT (-72.720881 41.436968)
,,CCNH,Glendale Center,(203) 723-1456,4 Hazel Avenue,Naugatuck,NEW_HAVEN,CT,For Profit,true,true,120,120,118,0,0,423,383,,,,,118,0,0,0,0,4,9,14,33,48,10,0,36,82,0,31,13,59,0,15,0,109,3,0,0,0,6,58,0,0,3,0,35,8,0,0,0,0,7,5,2,2013,POINT (-73.036733 41.469038)
,,CCNH,Cobalt Lodge Health Care and Rehabilitation Center,(860) 267-9034,Post Office Box 246,Cobalt,MIDDLESEX,CT,For Profit,true,true,60,60,54,0,0,390,360,360,,,,54,0,0,0,0,0,1,12,24,10,7,0,20,34,0,7,16,28,0,3,0,54,0,0,0,0,0,33,0,0,0,0,3,2,0,0,0,0,0,16,0,2017,
,,CCNH,Apple Rehab Shelton Lakes,(203) 924-2635,5 Lake Road,Shelton,FAIRFIELD,CT,For Profit,true,true,106,106,103,0,0,443,403,,,,,103,0,0,0,0,3,8,18,13,44,17,0,39,64,0,21,20,46,4,12,0,94,6,1,0,1,1,72,0,0,11,0,10,1,0,0,0,0,0,9,0,2018,POINT (-73.115165 41.313756)
,,CCNH,Governor's House,(860) 658-1018,36 Firetown Road,Simsbury,HARTFORD,CT,For Profit,true,true,73,73,54,0,0,545,500,,,,,54,0,0,0,0,0,6,10,6,30,2,0,18,36,0,8,9,27,0,10,0,50,2,2,0,0,0,38,0,0,5,0,4,2,0,0,0,1,1,3,0,2018,POINT (-72.811606 41.872974)
75044,2029C,CCNH,Apple Rehab Farmington Valley,(860) 747-1637,269 Farmington Avenue,Plainville,HARTFORD,CT,For Profit,true,true,130,130,121,0,0,443,417,,,,,121,0,0,1,2,7,10,15,40,39,7,0,41,80,0,26,24,54,0,17,0,106,2,11,0,2,0,82,0,0,9,0,8,11,0,0,0,0,1,10,0,2019,POINT (-72.852841 41.685968)
,,CCNH,The Nathaniel Witherell,(203) 618-4200,70 Parsonage Road,Greenwich,FAIRFIELD,CT,Non-profit,true,true,202,202,185,0,0,455,433,386,,,,185,0,0,0,0,5,7,13,59,73,28,0,32,153,0,27,38,99,0,21,0,169,9,6,0,1,0,114,0,0,0,0,20,4,0,0,0,0,0,47,0,2013,POINT (-73.624382 41.059487)
,,CCNH,"Paradigm Healthcare Center Prospect, LLC",(203) 758-4431,25 Royal Crest Drive,Prospect,NEW_HAVEN,CT,For Profit,true,true,120,120,117,0,0,344,344,344,,,,117,0,1,0,0,2,7,11,24,53,19,0,29,88,0,18,10,70,0,19,0,107,5,4,1,0,0,84,0,0,6,0,14,2,0,0,0,0,0,5,6,2013,POINT (-72.972096 41.513545)
,,CCNH,The Suffield House,(860) 668-6111,One Canal Road,Suffield,HARTFORD,CT,For Profit,true,true,128,128,124,0,0,410,390,,,,,124,0,0,0,0,2,5,8,27,56,26,0,30,94,0,26,8,80,0,10,0,124,0,0,0,0,0,58,0,0,6,0,25,9,0,0,0,0,0,26,0,2013,
75300,2298,CCNH,Apple Rehab Shelton Lakes,(203) 924-2635,5 Lake Road,Shelton,FAIRFIELD,CT,For Profit,true,true,106,106,104,0,0,443,403,,,,,104,0,0,0,0,5,6,15,22,43,13,0,32,72,0,19,21,52,0,12,0,93,8,3,0,0,0,77,0,0,8,0,7,2,0,0,1,0,0,7,2,2019,POINT (-73.115165 41.313756)
,,CCNH,McLean Health Center,(860) 658-3700,75 Great Pond Road,Simsbury,HARTFORD,CT,Non-profit,true,true,119,119,102,0,0,457,437,,,,,102,0,0,0,0,2,6,15,15,52,12,0,21,81,0,22,10,53,0,17,0,100,0,0,0,2,0,56,0,0,0,0,15,2,0,0,0,4,2,23,0,2013,POINT (-72.824809 41.885251)
,,CCNH,Hebrew Center for Health and Rehabilitation,(860) 523-3800,One Abrahms Boulevard,West Hartford,HARTFORD,CT,For Profit,true,true,257,257,224,0,0,450,430,,,,,224,0,0,0,1,3,9,28,57,93,33,0,79,145,0,41,36,107,2,38,0,163,43,13,0,3,2,169,0,0,15,0,9,6,5,0,0,0,0,20,0,2017,
,,CCNH,Portland  Care and Rehabilitation Centre,(860) 342-0370,333 Main Street,Portland,MIDDLESEX,CT,For Profit,true,true,65,65,60,0,0,365,345,325,,,,60,0,0,0,0,0,2,6,20,27,5,0,19,41,0,9,9,33,1,8,0,54,3,2,0,1,0,28,0,0,6,0,8,4,0,0,2,0,0,12,0,2013,POINT (-72.636328 41.578561)
,,CCNH/RHNS,Meadowbrook of Granby,(860) 653-9888,350 Salmon Brook Street,Granby,HARTFORD,CT,For Profit,true,true,90,80,76,10,10,493,478,,465,451,,86,0,0,0,0,0,4,6,22,44,10,0,28,58,0,18,3,59,1,5,0,84,2,0,0,0,0,51,0,0,7,0,12,3,0,0,0,0,0,13,0,2015,POINT (-72.790996 41.964404)
,,CCNH,Westfield Care and Rehabilitation Center,(203) 238-1291,65 Westfield Road,Meriden,NEW_HAVEN,CT,For Profit,true,true,100,100,78,0,0,434,387,365,,,,78,0,0,1,0,4,7,15,16,27,8,0,25,53,0,12,17,42,0,7,0,63,3,10,0,2,0,59,0,0,2,0,2,5,0,0,0,0,0,9,1,2014,POINT (-72.780579 41.547965)
,,CCNH,Cassena Care at New Britain,(860) 225-8608,66 Clinic Drive,New Britain,HARTFORD,CT,For Profit,true,true,90,90,77,0,0,440,400,,,,,77,0,0,0,1,3,6,14,21,25,7,0,26,51,0,6,16,49,0,6,0,56,12,8,1,0,0,57,0,0,3,0,10,2,0,0,0,0,0,5,0,2016,POINT (-72.786309 41.648365)
75113,2206C,CCNH,Greentree Manor Nursing and Rehab Center,(860) 442-0647,4 Greentree Drive,Waterford,NEW_LONDON,CT,For Profit,true,true,90,90,79,0,0,471,455,,,,,79,0,0,0,3,2,9,14,19,26,6,0,30,49,0,17,20,32,2,8,0,67,7,5,0,0,0,50,0,0,4,0,10,5,0,0,0,0,0,10,0,2019,POINT (-72.145458 41.394072)
,,CCNH,Northbridge Healthcare Center,(203) 336-0232,2875 Main Street,Bridgeport,FAIRFIELD,CT,For Profit,true,true,145,145,144,0,0,532,512,,,,,144,0,0,0,0,4,27,36,42,29,6,0,52,92,0,22,48,38,6,30,0,46,54,41,0,2,1,125,0,0,4,0,5,7,0,0,0,0,0,3,0,2018,POINT (-73.203493 41.201508)
75388,1035C,CCNH,Apple Rehab Avon d/b/a Brightview Nursing and Retirement,(860) 673-3265,220 Scoville Road,Avon,HARTFORD,CT,For Profit,true,true,60,60,52,0,0,295,295,,,,,52,0,0,0,0,4,8,9,15,9,7,0,16,36,0,10,5,21,0,16,0,45,2,0,2,1,2,32,0,0,3,0,8,3,0,0,0,1,0,4,1,2019,POINT (-72.860962 41.7759)
,,CCNH,"Gardner Heights Health Care Center, Inc.",(203) 929-1481,172 Rocky Rest Road,Shelton,FAIRFIELD,CT,For Profit,true,true,130,130,99,0,0,399,370,340,,,,99,0,0,0,0,0,8,17,35,34,5,0,30,69,0,12,21,46,1,19,0,78,12,9,0,0,0,87,0,0,2,0,1,2,0,0,0,0,0,7,0,2018,POINT (-73.095187 41.286437)
75325,2051C,CCNH,"The Mary Wade Home, Inc.",(203) 562-7222,118 Clinton Avenue,New Haven,NEW_HAVEN,CT,Non-profit,true,true,94,94,92,0,0,519,473,,,,,92,0,0,0,0,1,3,6,23,41,18,0,26,66,0,9,17,58,1,7,0,66,21,4,0,1,0,58,0,0,5,0,6,7,0,0,0,0,0,16,0,2019,POINT (-72.891247 41.312612)
,,CCNH,Gladeview Health Care Center,(860) 388-6696,60 Boston Post Road,Old Saybrook,MIDDLESEX,CT,For Profit,true,true,132,132,120,0,0,381,361,,,,,120,0,0,0,1,3,14,17,26,45,14,0,48,72,0,15,27,53,1,24,0,115,2,2,0,1,0,66,0,0,20,0,6,5,9,0,0,0,3,8,3,2015,POINT (-72.363403 41.312485)
,,CCNH,Greenwich Woods Rehabilitation,(203) 531-1335,1165 King Street,Greenwich,FAIRFIELD,CT,For Profit,true,true,217,217,130,0,0,513,492,,,,,130,0,0,0,0,3,6,15,33,58,15,0,40,90,0,29,30,53,2,16,0,111,7,11,0,1,0,89,0,0,6,0,14,4,0,0,0,0,0,17,0,2018,POINT (-73.694388 41.05959200000001)
75437,2425,CCNH,Avalon Health Center,(860) 572-5613,186 Jerry Browne Road,Mystic,NEW_LONDON,CT,For Profit,true,false,40,40,35,0,0,515,465,,,,,35,0,0,0,0,0,0,1,12,12,10,0,11,24,0,6,2,26,0,1,0,35,0,0,0,0,0,0,0,0,0,0,7,5,0,18,0,0,0,5,0,2019,POINT (-71.949571 41.37512000000001)
,,CCNH/RHNS,Meadowbrook of Granby,(860) 653-9888,350 Salmon Brook Street,Granby,HARTFORD,CT,For Profit,true,true,90,80,75,10,10,473,458,,445,431,,85,0,0,0,0,1,7,7,28,30,12,0,25,60,0,23,5,50,0,7,0,81,3,0,0,1,0,47,0,0,6,0,16,6,0,0,0,0,0,9,1,2014,POINT (-72.790996 41.964404)
75408,2167C,CCNH,"Leeway, Inc.",(203) 865-0068,40 Albert Street,New Haven,NEW_HAVEN,CT,Non-profit,true,true,30,30,27,0,0,450,,,,,,27,0,0,0,1,5,12,9,0,0,0,0,19,8,0,2,19,2,1,3,0,9,12,6,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,2019,POINT (-72.89634 41.326544)
,,CCNH,The Kent Specialty Care Center,(860) 927-5368,46 Maple Street,Kent,LITCHFIELD,CT,For Profit,true,true,90,90,19,0,0,375,350,,,,,19,0,0,0,0,0,6,5,5,3,0,0,8,11,0,1,3,8,0,7,0,18,1,0,0,0,0,14,1,0,3,0,1,0,0,0,0,0,0,0,0,2015,POINT (-73.473481 41.720625)
,,CCNH,Maefair Health Care Center,(203) 459-5152,21 Maefair Court,Trumbull,FAIRFIELD,CT,For Profit,true,true,134,134,129,0,0,576,564,,,,,129,0,0,0,2,5,14,19,33,45,11,0,37,92,0,16,36,57,1,19,0,73,41,11,0,0,4,95,0,0,6,0,6,8,0,0,0,0,0,1,13,2018,POINT (-73.194834 41.236378)
75085,680C,CCNH,St. Mary Home,(860) 570-8418,2021 Albany Avenue,West Hartford,HARTFORD,CT,Non-profit,true,true,256,256,251,0,0,506,459,459,,,,251,0,0,1,0,2,24,33,76,83,32,0,88,163,0,45,106,75,0,25,0,183,47,16,3,2,0,103,0,0,58,0,28,9,0,0,0,0,3,37,13,2019,POINT (-72.726476 41.786082)
,,CCNH,Parkway Pavilion Health and Rehabilitation Center,(860) 745-1641,1157 Enfield Street,Enfield,HARTFORD,CT,For Profit,true,true,130,130,120,0,0,457,431,431,,,,120,0,0,0,1,3,14,27,32,30,13,0,42,78,0,27,9,81,0,3,0,113,6,1,0,0,0,77,0,0,10,0,15,7,0,0,0,0,0,11,0,2017,POINT (-72.593179 41.986582)
,,CCNH/RHNS,Chestelm Health and Rehabilitation Center,(860) 873-6533,"534 Town Street, P.O. Box 719",Moodus,MIDDLESEX,CT,For Profit,true,true,76,63,59,13,12,375,350,,300,275,260,71,0,0,0,0,0,1,8,24,33,5,0,16,55,0,14,6,44,0,7,0,69,0,1,0,1,0,39,0,0,4,0,7,4,0,0,0,0,1,16,0,2015,POINT (-72.446752 41.485388)
,,CCNH,The Lutheran Home of Southbury,(203) 264-9135,990 Main Street North,Southbury,NEW_HAVEN,CT,Non-profit,true,true,134,120,116,14,14,430,400,370,150,,,130,0,0,0,0,0,5,8,33,65,19,0,30,100,0,16,14,89,2,9,0,126,0,4,0,0,0,105,0,0,4,0,6,2,0,0,0,0,0,11,2,2015,POINT (-73.21103 41.504094)
,,CCNH,Bloomfield Health Care Center,(860) 242-8595,355 Park Avenue,Bloomfield,HARTFORD,CT,For Profit,true,true,120,120,82,0,0,420,390,,,,,82,0,0,0,1,4,8,19,25,18,7,0,37,45,0,8,13,16,0,8,37,12,58,3,0,0,9,62,0,0,9,0,2,3,0,0,0,0,1,1,4,2018,POINT (-72.713086 41.822502)
,,CCNH,Middlesex Health Care Center,(860) 344-0353,100 Randolph Road,Middletown,MIDDLESEX,CT,For Profit,true,true,150,150,138,0,0,514,484,,,,,138,0,1,2,2,5,12,26,32,49,9,0,53,85,0,32,31,44,6,25,0,128,7,3,0,0,0,111,0,0,4,0,7,5,7,0,0,0,0,4,0,2016,POINT (-72.616498 41.534852)
