FACID,FACILITY_TYPE,LIC#,LICENSED_NAME,ALPHA_NAME,ADDRESS,FAC_ADDR_2,FAC_CITY,FAC_ST,ZIP,CSZ,COUNTY,TELEPHONE,FAXPHONE,FACEMAIL,LIC_EXPIRES,LICENSED_OWNER,OWNADDR,owncsz,OwnDesc,ADMIN,TITLE,RunDate,HospBedTotal
NJ24983,AMBULATORY CARE FACILITY,24983,ADVANCED MEDICAL EMERGENCY RESOURCE COALITION INC,ADVANCED MEDICAL EMERGENCY RESOURCE COALITION INC,"842 SILVIA STREET, ENTERPRISE PARK, BLGD D", ,WEST TRENTON,NJ,08628,"WEST TRENTON, NJ  08628",MERCER,(732) 744-5822,          ,,4/30/2020,ADVANCED MEDICAL EMERGENCY RESOURCE COALITION INC,30 PROSPECT AVENUE,"HACKENSACK, NJ  07601",,Mr. ADAM BEDER,,6/17/2020,
NJ23131,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1306,ADVANCED MEDICAL IMAGING OF ENGLEWOOD HOSPITAL,ADVANCED MEDICAL IMAGING OF ENGLEWOOD HOSPITAL,452 OLD HOOK ROAD, ,EMERSON,NJ,07630,"EMERSON, NJ  07630",BERGEN,(201) 262-0001,(201) 262-2330,warren.geller@ehmchealth.org,6/30/2021,ENGLEWOOD HOSPITAL AND MEDICAL CENTER,350 ENGLE STREET,"ENGLEWOOD, NJ  07631",,. WARREN GELLER,,6/17/2020,
NJ22989,AMBULATORY CARE FACILITY,22989,ADVANCED MEDICAL IMAGING OF OLD BRIDGE,ADVANCED MEDICAL IMAGING OF OLD BRIDGE,3548 ROUTE 9 SOUTH, ,OLD BRIDGE,NJ,08857,"OLD BRIDGE, NJ  08857",MIDDLESEX,(732) 970-0420,(732) 970-0517,HAZEL.HACKER@HACKENSACKMERIDIAN.ORG,1/31/2021,ROBERT WOOD JOHNSON JR. LIFESTYLE INSTITUTE INC.,98 JAMES STREET 4TH FLOOR,"EDISON, NJ  08820",,. AMIE THORNTON,,6/17/2020,
NJ24803,AMBULATORY CARE FACILITY,24803,ADVANCED OPEN MRI OF WEST HUDSON,ADVANCED OPEN MRI OF WEST HUDSON,723 ELM STREET, ,KEARNY,NJ,07032,"KEARNY, NJ  07032",HUDSON,(201) 997-7300,(201) 997-2709,SUBOOHAZ@GMAIL.COM,3/31/2020,SKS HEALTHCARE LLC,1712 LINVALE HARBOURTON ROAD,"LAMBERTVILLE, NJ  08530",,Mr. JOSEPH MALGERI,,6/17/2020,
NJ1399,AMBULATORY CARE FACILITY,24785,ADVANCED PRACTICE IMAGING,ADVANCED PRACTICE IMAGING,30 BERGEN STREET, ,NEWARK,NJ,07103,"NEWARK, NJ  07103",ESSEX,(973) 972-5188,(973) 972-7429,kortbame@uhnj.org,3/31/2021,"RUTGERS HEALTH GROUP, INC.",83 FRENCH STREET,"NEW BRUNSWICK, NJ  08901",Govt - Hospital,Dr. ROBERT JOHNSON,,6/17/2020,
NJ24953,AMBULATORY CARE FACILITY,24953,"ADVANCED SHORE IMAGING ASSOCIATES, LLC",ADVANCED SHORE IMAGING ASSOCIATES LLC,"2605 SHORE ROAD, SUITE 101", ,NORTHFIELD,NJ,08225,"NORTHFIELD, NJ  08225",ATLANTIC,(609) 380-4175,(609) 377-8249,kredington@advancedshareimaging.com,1/31/2021,"ADVANCED SHORE IMAGING ASSOCIATES, L.L.C.","2605 SHORE ROAD, SUITE 101","NORTHFIELD, NJ  08225",,. KAREN REDINGTON,,6/17/2020,
NJ24266,AMBULATORY SURGICAL CENTER,24266,"ADVANCED SPINE AND OUTPATIENT SURGERY CENTER, LLC","ADVANCED SPINE AND OUTPATIENT SURGERY CENTER, LLC","855 LEHIGH AVENUE, SUITE 203", ,UNION,NJ,07083,"UNION, NJ  07083",UNION,(908) 557-9420,(908) 557-9438,IIglesias@advancedspine.com,10/31/2020,"ADVANCED SPINE AND OUTPATIENT SURGERY CENTER, LLC","855 LEHIGH AVENUE, SUITE 203","UNION, NJ  07083",Profit - LLC,. NATALIA DIAZ,,6/17/2020,
NJ25070,AMBULATORY CARE FACILITY,25070,"ADVANCED SPINE CARE AND PHYSICAL REHABILITATION, LLC",ADVANCED SPINE CARE AND PHYSICAL REHABILITATION LL,"728 BENNETTS MILLS ROAD, SUITE 1", ,JACKSON,NJ,08527,"JACKSON, NJ  08527",OCEAN,(732) 415-1401,(732) 415-1403,,9/30/2020,NORTHEAST SPINE & SPORTS MEDICINE,728 BENNETTS MILLS,"JACKSON, NJ  08527",,Dr. LAMBROS LAMBROU,,6/17/2020,
NJ90046,AMBULATORY SURGICAL CENTER,R24605,"ADVANCED SURGERY CENTER OF CLIFTON, LLC","ADVANCED SURGERY CENTER OF CLIFTON, LLC",1200 ROUTE 46 WEST, ,CLIFTON,NJ,07013,"CLIFTON, NJ  07013",PASSAIC,(973) 773-5600,(973) 773-5009,MCUELLARAS@gmail.com,10/31/2020,"ADVANCED SURGERY CENTER OF CLIFTON, LLC",1200 ROUTE 46 WEST,"CLIFTON, NJ  07013",Profit - Corporation,Ms. MARILYN CUELLAR-FERNANDEZ,,6/17/2020,
NJ22469,AMBULATORY SURGICAL CENTER,22469,"ADVANCED SURGERY CENTER, LLC","ADVANCED SURGERY CENTER, LLC","1608 LEMOINE AVENUE, SUITE 101", ,FORT LEE,NJ,07024,"FORT LEE, NJ  07024",BERGEN,(201) 585-9921,(201) 585-9799,d.oscar@advancedscrnj.com,5/31/2021,"ADVANCED SURGERY CENTER, LLC","1608 LEMOINE AVENUE, SUITE 101","FORT LEE, NJ  07024",Profit - LLC,Mrs. KETLANDE OSCAR,,6/17/2020,
NJ90075,AMBULATORY SURGICAL CENTER,R24526,"ADVANCED SURGICAL ARTS CENTER, LLC","ADVANCED SURGICAL ARTS CENTER, LLC",1150 AMBOY AVENUE, ,EDISON,NJ,08837,"EDISON, NJ  08837",MIDDLESEX,(732) 548-8194,(732) 548-1919,plasticsdoc10@yahoo.com,1/31/2021,"ADVANCED SURGICAL ARTS CENTER, LLC",1150 AMBOY AVENUE,"EDISION, NJ  08837",Profit - LLC,Dr. ANDREW MILLER,M.D.,6/17/2020,
NJ24201,AMBULATORY SURGICAL CENTER,24201,ADVANCED SURGICAL INSTITUTE,ADVANCED SURGICAL INSTITUTE,556 EGG HARBOR ROAD, ,SEWELL,NJ,08080,"SEWELL, NJ  08080",GLOUCESTER,(856) 256-7620,(856) 256-7621,jyondura@sjmi.virtua.org,7/31/2020,SOUTH JERSEY MUSCULOSKELETAL INSTITUTE,"556 EGG HARBOR ROAD, SUITE B","SEWELL, NJ  08080",Profit - Corporation,Mr. JAMES YONDURA,R.N.,6/17/2020,
NJ24516,AMBULATORY CARE FACILITY,24516,ADVANTAGE SLEEP ASSOCIATES,ADVANTAGE SLEEP ASSOCIATES,"2301 EVESHAM ROAD,  SUITE 603-604", ,VOORHEES,NJ,08043,"VOORHEES, NJ  08043",CAMDEN,(856) 424-2000,(856) 424-2007,cherylk@adtherapy.com,5/31/2021,"ADVANTAGE SLEEP ASSOCIATES, L.L.C.",1998 ROUTE 70 EAST,"CHERRY HILL, NJ  08003",,. CHERYL KOBITHEN,,6/17/2020,
NJ24194,COMPREHENSIVE OUTPATIENT REHAB,24194,ADVANTAGE THERAPY CENTER/ADVANTAGE SLEEP CENTERS,ADVANTAGE THERAPY CENTER/ADVANTAGE SLEEP CENTERS,"100 KINGSWAY EAST, SUITE B4-B6, WASHING PAVILIONS", ,SEWELL,NJ,08080,"SEWELL, NJ  08080",GLOUCESTER,(856) 256-0007,(856) 256-1020,cherylk@adtherapy.com,2/28/2021,"WASHINGTON TOWNSHIP CORF, L.L.C.","WASHINGTON PAVILIONS, 100 KINGSWAY EAST","SEWELL, NJ  08080",Profit - LLC,. CHERYL KOBITHEN,,6/17/2020,
NJ31C0001044,SURGICAL PRACTICE,R24524,AFFILIATED AMBULATORY SURGERY PC,AFFILIATED AMBULATORY SURGERY PC,"182 SOUTH STREET, SUITE #1", ,MORRISTOWN,NJ,07960,"MORRISTOWN, NJ  07960",MORRIS,(973) 936-1881,(973) 984-2670,R.LOMBARDI@AFFILDERMGROUP.COM,7/31/2020,"AFFILIATED AMBULATORY SURGERY, PC",182 SOUTH STREET,"MORRISTOWN, NJ  07960",Profit - Partnership,Mr. ROBERT LOMBARDI,,6/17/2020,
NJ80033,SURGICAL PRACTICE,R24501,AFFILIATED ENDOSCOPY SERVICES OF CLIFTON,AFFILIATED ENDOSCOPY SERVICES OF CLIFTON,"925 CLIFTON AVENUE, SUITE 100", ,CLIFTON,NJ,07013,"CLIFTON, NJ  07013",PASSAIC,(973) 798-6900,(973) 405-6435,affiliatedendo@optonline.net,4/30/2021,"AFFILIATED ENDOSCOPY SERVICES OF CLIFTON, LLC","925 CLIFTON AVENUE, SUITE 100","CLIFTON, NJ  07013",,Ms. SHARON JULIANO,R.N.,6/17/2020,
NJ25055,AMBULATORY CARE FACILITY,25055,AGILE URGENT CARE,AGILE URGENT CARE,20 MEADOWLANDS PARKWAY, ,SECAUCUS,NJ,07094,"SECAUCUS, NJ  07094",HUDSON,(201) 381-4800,(201) 381-4700,,6/30/2020,"AGILE URGENT CARE OF SECAUCUS, LLC",20 MEADOWLANDS PARKWAY,"SECAUCUS, NJ  07094",,Mr. RAJ SHAH,,6/17/2020,
NJ23965,PEDIATRIC COMMUNITY TRANSITIONAL HOMES,23965,AIDS RESOURCE FOUNDATION FOR CHILDREN/ST. CLARES ELIZABETH,AIDS RESOURCE FOUNDATION FOR CHILDREN,643 PEARL STREET, ,ELIZABETH,NJ,07202,"ELIZABETH, NJ  07202",UNION,(908) 351-8746,(908) 355-1708,KZEALAND@AIDSRESOURCE.ORG,6/30/2020,SAINT CLARE'S HOMES FOR CHILDREN,77 ACADEMY STREET,"NEWARK, NJ  07102",Non-Profit - Corporation,Ms. BEATRICE SIMPKINS,,6/17/2020,
NJ23963,PEDIATRIC COMMUNITY TRANSITIONAL HOMES,23963,AIDS RESOURCE FOUNDATION FOR CHILDREN/ST. CLARE'S JERSEY CITY,AIDS RESOURCE FOUNDATION FOR CHILDREN,15 CLIFTON PLACE, ,JERSEY CITY,NJ,07303,"JERSEY CITY, NJ  07303",HUDSON,(201) 435-5040,(201) 435-5586,bsimpkins@stclaresservices.org,10/31/2019,SAINT CLARE'S HOMES FOR CHILDREN,77 ACADEMY STREET,"NEWARK, NJ  07102",Non-Profit - Corporation,Ms. BEATRICE SIMPKINS,,6/17/2020,
NJ22772,AMBULATORY CARE FACILITY,22772,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,"2800 ROUTE 130 N, SUITE 202", ,CINNAMINSON,NJ,08077,"CINNAMINSON, NJ  08077",BURLINGTON,(856) 786-7044,(856) 786-7079,apsj@aimsradiology.com,7/31/2019,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,434 NEW JERSEY AVENUE,"ABSECON, NJ  08201",,Mr. ROMESH RUTHNASWAMY,,6/17/2020,
NJ22514,AMBULATORY CARE FACILITY,22514,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,434 NEW JERSEY AVENUE, ,ABSECON,NJ,08201,"ABSECON, NJ  08201",ATLANTIC,(609) 383-0500,(609) 383-9133,apsj@aimsradiology.com,7/31/2019,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,434 NEW JERSEY AVENUE,"ABSECON, NJ  08201",,Mr. ROMESH RUTHNASWAMY,,6/17/2020,
NJ22426,AMBULATORY CARE FACILITY,22426,"AIMS DIAGNOSTICS IMAGING SERVICES OF NJ, LLC","AIMS DIAGNOSTICS IMAGING SERVICES OF NJ, LLC",13-15 MECHANIC STREET, ,CAPE MAY COURT HOUSE,NJ,08210,"CAPE MAY COURT HOUSE, NJ  08210",CAPE MAY,(609) 465-7800,(609) 465-4419,apsj@aimsradiology.com,10/31/2019,AIMS DIAGNOSTIC IMAGING SERVICES OF NEW JERSEY,434 NEW JERSEY AVENUE,"ABSECON, NJ  08201",Profit - LLC,Mr. ROMESH RUTHNASWAMY,,6/17/2020,
NJ25035,END STAGE RENAL DIALYSIS,25035,ALARIS HEALTH DIALYSIS AT ESSEX,ALARIS HEALTH DIALYSIS AT ESSEX,155-40TH STREET, ,IRVINGTON,NJ,07111,"IRVINGTON, NJ  07111",ESSEX,(201) 216-9500,(201) 216-9656,lindad@alarishealth.com,8/31/2020,ALARIS HEALTH DIALYSIS AT ESSEX,155-40TH STREET,"IRVINGTON, NJ  07111",,Ms. ARACELI MENDOZA,,6/17/2020,
23196,END STAGE RENAL DIALYSIS,23196,ALARIS HEALTH DIALYSIS AT HAMILTON PARK,ALARIS HEALTH DIALYSIS AT HAMILTON PARK,328 NINTH STREET, ,JERSEY CITY,NJ,07302,"JERSEY CITY, NJ  07302",HUDSON,(201) 716-7700,(201) 716-7711,jsylvestre@alarishealth.com,8/29/2020,HAMILTON PARK DIALYSIS OPCO LLC,"1150 WEST CHESTNUT STREET, PO BOX 1553","UNION, NJ  07083",Profit - LLC,Ms. LEPTY BALANDRA-DWYER,,6/17/2020,
NJ25149,END STAGE RENAL DIALYSIS,25149,ALARIS HEALTH DIALYSIS AT THE CHATEAU,ALARIS HEALTH DIALYSIS AT THE CHATEAU,96 PARKWAY, ,ROCHELLE PARK,NJ,07662,"ROCHELLE PARK, NJ  07662",BERGEN,(201) 226-9600,(201) 216-9656,jsylvestre@alarishealth.com,6/30/2021,"ALARIS HEALTH DIALYSIS AT THE CHATEAU, LLC",175 BELGROVE DRIVE,"KEARNY, NJ  07032",,Ms. JOANNE SYLVESTRE,,6/17/2020,
NJ25005,AMBULATORY SURGICAL CENTER,25005,"ALFRED I DUPONT HOSPITAL FOR CHILDREN SURGERY CENTER, DEPTFORD",ALFRED I DUPONT HOSPITAL FOR CHILDREN SURGERY CENT,1280 ALMONESSON ROAD, ,DEPTFORD,NJ,08096,"DEPTFORD, NJ  08096",GLOUCESTER,(856) 345-1403,(856) 345-1406,,9/30/2020,"NEMOURS FOUNDATION, THE",10140 CENTURION PARKWAY NORTH,"JACKSONVILLE, FL  32256",,Ms. MARIELLEN DESIMONE,,6/17/2020,
NJ311812,FEDERALLY QUALIFIED HEALTH CENTERS,22657,"ALLIANCE COMMUNITY HEALTHCARE, INC","ALLIANCE COMMUNITY HEALTHCARE, INC",714 BERGEN AVENUE, ,JERSEY CITY,NJ,07306,"JERSEY CITY, NJ  07306",HUDSON,(201) 451-6300,(201) 451-0619,asimon@allliancecommunityhealth.org,1/16/2019,HORIZON HEALTH CENTER,714 BERGEN AVENUE,"JERSEY CITY, NJ  07306",Non-Profit - Corporation,Ms. MARILYN CINTRON,,6/17/2020,
311836,FEDERALLY QUALIFIED HEALTH CENTERS,22956,"ALLIANCE COMMUNITY HEALTHCARE, INC","ALLIANCE COMMUNITY HEALTHCARE, INC",115 CHRISTOPHER COLUMBUS DRIVE, ,JERSEY CITY,NJ,07302,"JERSEY CITY, NJ  07302",HUDSON,(201) 451-6300,(201) 451-0619,ASIMON@ALLIANCECOMMUNITYHEALTH.ORG,9/30/2019,HORIZON HEALTH CENTER,714 BERGEN AVENUE,"JERSEY CITY, NJ  07306",Non-Profit - Corporation,Ms. MARILYN CINTRON,,6/17/2020,
NJR24898,SURGICAL PRACTICE,R24898,"ALLIANCE SURGERY CENTER, LLC","ALLIANCE SURGERY CENTER, LLC",412 CREEK CROSSING BOULEVARD, ,HAINESPORT,NJ,08036,"HAINESPORT, NJ  08036",BURLINGTON,(856) 764-7660,(609) 261-4893,cobianwu@aol.com,12/31/2020,"ALLIANCE OB/GYN CONSULTANTS, L.L.C.",412 CREEK CROSSING BOULEVARD,"HAINSBORT, NJ  08036",Profit - LLC,Ms. KIMBERLY HARTMAN,,6/17/2020,
NJ24865,AMBULATORY CARE FACILITY,24865,ALPHA DIAGNOSTIC OF NEW JERSEY,ALPHA DIAGNOSTIC OF NEW JERSEY,1 WEST RIDGEWOOD AVENUE, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 445-5055,(201) 445-5052,MOATAZ@ALPHADIAGNOSTIC.COM,6/30/2019,ALPHA DIAGNOSTIC OF NEW JERSEY,1 WEST RIDGEWOOD AVENUE,"PARAMUS, NJ  07652",Profit - LLC,Mr. MOATAZ ABDALLA,,6/17/2020,
NJ31C0001100,AMBULATORY SURGICAL CENTER,22422,AMBULATORY CARE CENTER,AMBULATORY CARE CENTER,1133 EAST CHESTNUT AVENUE, ,SOUTH VINELAND,NJ,08360,"SOUTH VINELAND, NJ  08360",CUMBERLAND,(856) 507-0800,(856) 507-0824,ASHTON@SURGERYCENTERNJ.COM,2/28/2021,"AMBULATORY CARE CENTER, P.A.",1133 EAST CHESTNUT AVENUE,"VINELAND, NJ  08360",Profit - Corporation,Ms. MELISSA HERMANSON,,6/17/2020,
NJ1090,"HOSPITAL-BASED, OFF-SITE AMBULATORY CARE FACILITY",1090,AMBULATORY CARE FACILITY AT140 E RIDGEWOOD AVENUE,AMBULATORY CARE FACILITY AT 140 E RIDGEWOOD AVENUE,140 EAST RIDGEWOOD AVENUE, ,PARAMUS,NJ,07652,"PARAMUS, NJ  07652",BERGEN,(201) 291-6321,(201) 291-6318,MMEDIAG@valleyhealth.com,10/31/2020,THE VALLEY HEALTH SYSTEM,223 NORTH VAN DIEN AVENUE,"RIDGEWOOD, NJ  07450",Non-Profit - Hospital,Ms. AUDREY MEYERS,Pres. & CEO,6/17/2020,
NJ24067,AMBULATORY SURGICAL CENTER,24067,"AMBULATORY CENTER FOR ENDOSCOPY, LLC",AMBULATORY CENTER FOR ENDOSCOPY LLC,"7600 RIVER ROAD, 4TH FLOOR", ,NORTH BERGEN,NJ,07047,"NORTH BERGEN, NJ  07047",HUDSON,(201) 705-1080,(201) 705-1090,,9/30/2020,AMBULATORY CENTER FOR ENDOSCOPY LLC,7600 RIVER ROAD,"NORTH BERGEN, NJ  07407",Profit - LLC,Ms. STELLA ZAGATA-FEE,,6/17/2020,
NJ23459,AMBULATORY SURGICAL CENTER,23459,AMBULATORY CENTER FOR EXCELLENCE IN SURGERY,AMBULATORY CENTER FOR EXCELLENCE IN SURGERY,1255 BROAD STREET, ,BLOOMFIELD,NJ,07003,"BLOOMFIELD, NJ  07003",ESSEX,(973) 842-2150,(973) 338-3545,lcando@bloomfieldsurgicenter.org,7/31/2020,BLOOMFIELD SURGI CENTER LLC,1255 BROAD STREET,"BLOOMFIELD, NJ  07003",Profit - LLC,Ms. LORNA CANDO,,6/17/2020,
